,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
3829,"Jaylen Warren (RB, PIT)",JAX,7.8,5.8,3.8,0/0,0%,0,0,0,5,19,3.8,0,4,5,19,4.8,0,0,0,Jaylen Warren,RB, pit,8
3830,"Velus Jones Jr. (WR, CHI)",@LAC,1.4,0.9,0.4,0/0,0%,0,0,0,0,0,0.0,0,1,2,4,4.0,0,0,0,Velus Jones Jr.,WR, chi,8
3831,"Daniel Bellinger (TE, NYG)",NYJ,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Daniel Bellinger,TE, nyg,8
3832,"Grant Calcaterra (TE, PHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Grant Calcaterra,TE, phi,8
3833,"Connor Heyward (TE, PIT)",JAX,7.4,4.9,2.4,0/0,0%,0,0,0,0,0,0.0,0,5,6,24,4.8,0,0,0,Connor Heyward,TE, pit,8
3834,"Curtis Hodges (TE, WAS)",PHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Curtis Hodges,TE, was,8
3835,"Chigoziem Okonkwo (TE, TEN)",ATL,6.7,4.7,2.7,0/0,0%,0,0,0,1,4,4.0,0,4,5,23,5.8,0,0,0,Chigoziem Okonkwo,TE, ten,8
3836,"Drew Ogletree (TE, IND)",NO,10.3,9.8,9.3,0/0,0%,0,0,0,0,0,0.0,0,1,3,33,33.0,1,0,0,Drew Ogletree,TE, ind,8
3837,"John FitzPatrick (TE, ATL)",@TEN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,John FitzPatrick,TE, atl,8
3838,"Ko Kieft (TE, TB)",@BUF,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Ko Kieft,TE, tb,8
3839,"Nick Muse (TE, MIN)",@GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Nick Muse,TE, min,8
3840,"Samori Toure (WR, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Samori Toure,WR, gb,8
3841,"Stone Smartt (TE, LAC)",CHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Stone Smartt,TE, lac,8
3842,"Rodney Williams (TE, PIT)",JAX,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0,Rodney Williams,TE, pit,8
3843,"Rashid Shaheed (WR, NO)",@IND,24.3,22.8,21.3,0/0,0%,0,0,0,0,0,0.0,0,3,3,153,51.0,1,0,0,Rashid Shaheed,WR, no,8
3844,"Deven Thompkins (WR, TB)",@BUF,-1.0,-1.0,-1.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,Deven Thompkins,WR, tb,8
3845,"Irvin Charles (WR, NYJ)",@NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Irvin Charles,WR, nyj,8
3846,"KaVontae Turpin (WR, DAL)",LAR,2.3,1.8,1.3,0/0,0%,0,0,0,0,0,0.0,0,1,2,13,13.0,0,0,0,KaVontae Turpin,WR, dal,8
3847,"Dalton Kincaid (TE, BUF)",TB,17.5,15.0,12.5,0/0,0%,0,0,0,0,0,0.0,0,5,7,65,13.0,1,0,0,Dalton Kincaid,TE, buf,8
3848,"Tucker Kraft (TE, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tucker Kraft,TE, gb,8
3849,"Andrei Iosivas (WR, CIN)",@SF,7.2,6.7,6.2,0/0,0%,0,0,0,0,0,0.0,0,1,1,2,2.0,1,0,0,Andrei Iosivas,WR, cin,8
3850,"Rashee Rice (WR, KC)",@DEN,9.6,7.6,5.6,0/0,0%,0,0,0,0,0,0.0,0,4,5,56,14.0,0,0,0,Rashee Rice,WR, kc,8
3851,"Derius Davis (WR, LAC)",CHI,2.4,1.4,0.4,0/0,0%,0,0,0,0,0,0.0,0,2,2,4,2.0,0,0,0,Derius Davis,WR, lac,8
3852,"Tyjae Spears (RB, TEN)",ATL,6.6,5.1,3.6,0/0,0%,0,0,0,3,27,9.0,0,3,4,9,3.0,0,0,0,Tyjae Spears,RB, ten,8
3853,"Tanner McKee (QB, PHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tanner McKee,QB, phi,8
3854,"Jalin Hyatt (WR, NYG)",NYJ,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jalin Hyatt,WR, nyg,8
3855,"Josh Downs (WR, IND)",NO,14.2,10.7,7.2,0/0,0%,0,0,0,0,0,0.0,0,7,9,72,10.3,0,0,0,Josh Downs,WR, ind,8
3856,"Davis Allen (TE, LAR)",@DAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Davis Allen,TE, lar,8
3857,"Brayden Willis (TE, SF)",CIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brayden Willis,TE, sf,8
3858,"Luke Musgrave (TE, GB)",MIN,2.9,1.9,0.9,0/0,0%,0,0,0,0,0,0.0,0,2,3,9,4.5,0,0,0,Luke Musgrave,TE, gb,8
3859,"Payne Durham (TE, TB)",@BUF,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Payne Durham,TE, tb,8
3860,"Tyson Bagent (QB, CHI)",@LAC,12.18,12.18,12.18,25/37,67.6%,232,0,2,4,-1,-0.2,1,0,0,0,0.0,0,0,1,Tyson Bagent,QB, chi,8
3861,"Clayton Tune (QB, ARI)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Clayton Tune,QB, ari,8
3862,"Jaren Hall (QB, MIN)",@GB,-1.18,-1.18,-1.18,3/4,75%,23,0,0,2,-1,-0.5,0,0,0,0,0.0,0,0,1,Jaren Hall,QB, min,8
3863,"Puka Nacua (WR, LAR)",@DAL,7.3,5.8,4.3,0/0,0%,0,0,0,0,0,0.0,0,3,7,43,14.3,0,0,0,Puka Nacua,WR, lar,8
3864,"Michael Wilson (WR, ARI)",BAL,9.8,7.8,5.8,0/0,0%,0,0,0,0,0,0.0,0,4,6,58,14.5,0,0,0,Michael Wilson,WR, ari,8
3865,"Tank Dell (WR, HOU)",@CAR,6.1,4.6,3.1,0/0,0%,0,0,0,3,15,5.0,0,3,4,16,5.3,0,0,0,Tank Dell,WR, hou,8
3866,"Tre Tucker (WR, LV)",@DET,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tre Tucker,WR, lv,8
3867,"Israel Abanikanda (RB, NYJ)",@NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Israel Abanikanda,RB, nyj,8
3868,"Demario Douglas (WR, NE)",@MIA,7.9,5.4,2.9,0/0,0%,0,0,0,1,4,4.0,0,5,7,25,5.0,0,0,0,Demario Douglas,WR, ne,8
3869,"Deuce Vaughn (RB, DAL)",LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Deuce Vaughn,RB, dal,8
3870,"Sean Tucker (RB, TB)",@BUF,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Sean Tucker,RB, tb,8
3871,"Keaton Mitchell (RB, BAL)",@ARI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Keaton Mitchell,RB, bal,8
3872,"Trey Palmer (WR, TB)",@BUF,5.2,3.7,2.2,0/0,0%,0,0,0,0,0,0.0,0,3,6,22,7.3,0,0,0,Trey Palmer,WR, tb,8
3873,"Tyler Scott (WR, CHI)",@LAC,2.1,1.6,1.1,0/0,0%,0,0,0,0,0,0.0,0,1,3,11,11.0,0,0,0,Tyler Scott,WR, chi,8
3874,"Brenton Strange (TE, JAX)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brenton Strange,TE, jax,8
3875,"Quentin Johnston (WR, LAC)",CHI,10.0,7.5,5.0,0/0,0%,0,0,0,0,0,0.0,0,5,6,50,10.0,0,0,0,Quentin Johnston,WR, lac,8
3876,"Kendre Miller (RB, NO)",@IND,2.9,2.4,1.9,0/0,0%,0,0,0,3,10,3.3,0,1,1,9,9.0,0,0,0,Kendre Miller,RB, no,8
3877,"Hunter Luepke (RB, DAL)",LAR,0.8,0.3,-0.2,0/0,0%,0,0,0,0,0,0.0,0,1,1,-2,-2.0,0,0,0,Hunter Luepke,RB, dal,8
3878,"Luke Schoonmaker (TE, DAL)",LAR,2.3,1.8,1.3,0/0,0%,0,0,0,0,0,0.0,0,1,1,13,13.0,0,0,0,Luke Schoonmaker,TE, dal,8
3879,"Antoine Green (WR, DET)",LV,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Antoine Green,WR, det,8
3880,"Emanuel Wilson (RB, GB)",MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Emanuel Wilson,RB, gb,8
3881,"Jaleel McLaughlin (RB, DEN)",KC,5.9,4.9,3.9,0/0,0%,0,0,0,4,33,8.2,0,2,2,6,3.0,0,0,0,Jaleel McLaughlin,RB, den,8
3882,"Jake Bobo (WR, SEA)",CLE,10.6,9.6,8.6,0/0,0%,0,0,0,1,3,3.0,1,2,2,23,11.5,0,0,0,Jake Bobo,WR, sea,8
