,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
0,"Marcedes Lewis (TE, CHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Marcedes Lewis,TE, chi,5
1,"Josh Johnson (QB, BAL)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Josh Johnson,QB, bal,5
2,"Matthew Slater (WR, NE)",NO,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Slater,WR, ne,5
3,"Brian Hoyer (QB, LV)",GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brian Hoyer,QB, lv,5
4,"Matthew Stafford (QB, LAR)",PHI,16.88,20.88,20.88,21/37,56.8%,222,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Stafford,QB, lar,5
5,"Jimmy Graham (TE, NO)",@NE,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Jimmy Graham,TE, no,5
6,"Tyrod Taylor (QB, NYG)",@MIA,4.84,4.84,4.84,9/12,75%,86,0,0,3,14,4.7,0,0,0,0,0.0,0,0,0,Tyrod Taylor,QB, nyg,5
7,"Andy Dalton (QB, CAR)",@DET,0.1,0.1,0.1,0/0,0%,0,0,0,1,1,1.0,0,0,0,0,0.0,0,0,0,Andy Dalton,QB, car,5
8,"Blaine Gabbert (QB, KC)",@MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Blaine Gabbert,QB, kc,5
9,"Randall Cobb (WR, NYJ)",@DEN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Randall Cobb,WR, nyj,5
10,"Brandon Bolden (RB, LV)",GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brandon Bolden,RB, lv,5
11,"Ryan Tannehill (QB, TEN)",@IND,10.76,10.76,10.76,23/34,67.6%,264,0,1,2,12,6.0,0,0,0,0,0.0,0,0,0,Ryan Tannehill,QB, ten,5
12,"Marvin Jones Jr. (WR, DET)",CAR,4.2,3.2,2.2,0/0,0%,0,0,0,0,0,0.0,0,2,2,22,11.0,0,0,0,Marvin Jones Jr.,WR, det,5
13,"Kirk Cousins (QB, MIN)",KC,18.86,22.86,22.86,29/47,61.7%,284,2,0,3,5,1.7,0,0,0,0,0.0,0,0,1,Kirk Cousins,QB, min,5
14,"Russell Wilson (QB, DEN)",NYJ,17.74,21.74,21.74,20/31,64.5%,196,2,0,7,49,7.0,0,0,0,0,0.0,0,0,2,Russell Wilson,QB, den,5
15,"Zach Ertz (TE, ARI)",CIN,9.0,8.0,7.0,0/0,0%,0,0,0,0,0,0.0,0,2,4,10,5.0,1,0,0,Zach Ertz,TE, ari,5
16,"Robert Woods (WR, HOU)",@ATL,6.0,4.5,3.0,0/0,0%,0,0,0,0,0,0.0,0,3,9,30,10.0,0,0,0,Robert Woods,WR, hou,5
17,"Kyle Juszczyk (RB, SF)",DAL,12.6,10.6,8.6,0/0,0%,0,0,0,0,0,0.0,0,4,4,26,6.5,1,0,0,Kyle Juszczyk,RB, sf,5
18,"DeAndre Hopkins (WR, TEN)",@IND,22.0,18.0,14.0,0/0,0%,0,0,0,0,0,0.0,0,8,11,140,17.5,0,0,0,DeAndre Hopkins,WR, ten,5
19,"Travis Kelce (TE, KC)",@MIN,22.7,17.7,12.7,0/0,0%,0,0,0,0,0,0.0,0,10,11,67,6.7,1,0,0,Travis Kelce,TE, kc,5
20,"Latavius Murray (RB, BUF)",JAX,1.7,1.2,0.7,0/0,0%,0,0,0,2,6,3.0,0,1,1,1,1.0,0,0,0,Latavius Murray,RB, buf,5
21,"Cordarrelle Patterson (RB, ATL)",HOU,1.7,1.2,0.7,0/0,0%,0,0,0,0,0,0.0,0,1,1,7,7.0,0,0,0,Cordarrelle Patterson,RB, atl,5
22,"Adam Thielen (WR, CAR)",@DET,27.7,22.2,16.7,0/0,0%,0,0,0,0,0,0.0,0,11,13,107,9.7,1,0,0,Adam Thielen,WR, car,5
23,"Case Keenum (QB, HOU)",@ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Case Keenum,QB, hou,5
24,"Jimmy Garoppolo (QB, LV)",GB,11.72,13.72,13.72,22/31,71%,208,1,1,4,4,1.0,0,0,0,0,0.0,0,0,0,Jimmy Garoppolo,QB, lv,5
25,"Allen Robinson II (WR, PIT)",BAL,7.9,5.4,2.9,0/0,0%,0,0,0,0,0,0.0,0,5,9,29,5.8,0,0,0,Allen Robinson II,WR, pit,5
26,"Derek Carr (QB, NO)",@NE,15.72,19.72,19.72,18/26,69.2%,183,2,0,2,4,2.0,0,0,0,0,0.0,0,0,0,Derek Carr,QB, no,5
27,"Keith Smith (RB, ATL)",HOU,3.8,3.3,2.8,0/0,0%,0,0,0,0,0,0.0,0,1,1,28,28.0,0,0,0,Keith Smith,RB, atl,5
28,"Odell Beckham Jr. (WR, BAL)",@PIT,3.3,2.3,1.3,0/0,0%,0,0,0,0,0,0.0,0,2,4,13,6.5,0,0,0,Odell Beckham Jr.,WR, bal,5
29,"Davante Adams (WR, LV)",GB,8.5,6.5,4.5,0/0,0%,0,0,0,0,0,0.0,0,4,4,45,11.2,0,0,0,Davante Adams,WR, lv,5
30,"Teddy Bridgewater (QB, DET)",CAR,-0.2,-0.2,-0.2,0/0,0%,0,0,0,2,-2,-1.0,0,0,0,0,0.0,0,0,0,Teddy Bridgewater,QB, det,5
31,"Jerick McKinnon (RB, KC)",@MIN,4.5,3.5,2.5,0/0,0%,0,0,0,1,7,7.0,0,2,3,18,9.0,0,0,0,Jerick McKinnon,RB, kc,5
32,"Brandin Cooks (WR, DAL)",@SF,2.3,1.8,1.3,0/0,0%,0,0,0,1,6,6.0,0,1,4,7,7.0,0,0,0,Brandin Cooks,WR, dal,5
33,"Logan Thomas (TE, WAS)",CHI,20.7,16.2,11.7,0/0,0%,0,0,0,0,0,0.0,0,9,11,77,8.6,1,0,1,Logan Thomas,TE, was,5
34,"Jameis Winston (QB, NO)",@NE,-0.4,-0.4,-0.4,0/0,0%,0,0,0,3,-4,-1.3,0,0,0,0,0.0,0,0,0,Jameis Winston,QB, no,5
35,"Marcus Mariota (QB, PHI)",@LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Marcus Mariota,QB, phi,5
36,"DeVante Parker (WR, NE)",NO,4.0,3.0,2.0,0/0,0%,0,0,0,0,0,0.0,0,2,4,20,10.0,0,0,0,DeVante Parker,WR, ne,5
37,"Nelson Agholor (WR, BAL)",@PIT,9.4,7.4,5.4,0/0,0%,0,0,0,0,0,0.0,0,4,5,64,16.0,0,0,1,Nelson Agholor,WR, bal,5
38,"Ameer Abdullah (RB, LV)",GB,2.5,2.0,1.5,0/0,0%,0,0,0,1,4,4.0,0,1,1,11,11.0,0,0,0,Ameer Abdullah,RB, lv,5
39,"Tyler Kroft (TE, MIA)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tyler Kroft,TE, mia,5
40,"Ty Montgomery II (WR, NE)",NO,1.5,1.0,0.5,0/0,0%,0,0,0,1,0,0.0,0,1,4,5,5.0,0,0,0,Ty Montgomery II,WR, ne,5
41,"Jamison Crowder (WR, WAS)",CHI,4.1,3.1,2.1,0/0,0%,0,0,0,0,0,0.0,0,2,2,21,10.5,0,0,0,Jamison Crowder,WR, was,5
42,"Blake Bell (TE, KC)",@MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Blake Bell,TE, kc,5
43,"MyCole Pruitt (TE, ATL)",HOU,3.2,2.7,2.2,0/0,0%,0,0,0,0,0,0.0,0,1,1,22,22.0,0,0,0,MyCole Pruitt,TE, atl,5
44,"Stefon Diggs (WR, BUF)",JAX,24.1,20.1,16.1,0/0,0%,0,0,0,0,0,0.0,0,8,11,121,15.1,1,0,1,Stefon Diggs,WR, buf,5
45,"C.J. Uzomah (TE, NYJ)",@DEN,3.2,2.2,1.2,0/0,0%,0,0,0,0,0,0.0,0,2,2,12,6.0,0,0,0,C.J. Uzomah,TE, nyj,5
46,"Michael Burton (RB, DEN)",NYJ,2.0,2.0,2.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0,Michael Burton,RB, den,5
47,"Darren Waller (TE, NYG)",@MIA,16.6,12.6,8.6,0/0,0%,0,0,0,0,0,0.0,0,8,11,86,10.8,0,0,0,Darren Waller,TE, nyg,5
48,"Geoff Swaim (TE, ARI)",CIN,4.2,3.2,2.2,0/0,0%,0,0,0,0,0,0.0,0,2,2,22,11.0,0,0,0,Geoff Swaim,TE, ari,5
49,"Taylor Heinicke (QB, ATL)",HOU,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Taylor Heinicke,QB, atl,5
50,"Raheem Mostert (RB, MIA)",NYG,14.8,13.8,12.8,0/0,0%,0,0,0,10,65,6.5,1,2,2,13,6.5,0,0,1,Raheem Mostert,RB, mia,5
51,"DeAndre Carter (WR, LV)",GB,0.3,0.3,0.3,0/0,0%,0,0,0,2,3,1.5,0,0,1,0,0.0,0,0,0,DeAndre Carter,WR, lv,5
52,"Chris Manhertz (TE, DEN)",NYJ,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Chris Manhertz,TE, den,5
53,"Laquon Treadwell (WR, BAL)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Laquon Treadwell,WR, bal,5
54,"Jared Goff (QB, DET)",CAR,27.44,33.44,33.44,20/28,71.4%,236,3,0,2,0,0.0,1,0,0,0,0.0,0,0,0,Jared Goff,QB, det,5
55,"Ezekiel Elliott (RB, NE)",NO,7.8,5.8,3.8,0/0,0%,0,0,0,8,21,2.6,0,4,4,17,4.2,0,0,0,Ezekiel Elliott,RB, ne,5
56,"Derrick Henry (RB, TEN)",@IND,9.2,7.7,6.2,0/1,0%,0,0,0,13,43,3.3,0,3,3,19,6.3,0,0,0,Derrick Henry,RB, ten,5
57,"Michael Thomas (WR, NO)",@NE,10.5,8.5,6.5,0/0,0%,0,0,0,0,0,0.0,0,4,7,65,16.2,0,0,0,Michael Thomas,WR, no,5
58,"Sterling Shepard (WR, NYG)",@MIA,2.3,1.8,1.3,0/0,0%,0,0,0,0,0,0.0,0,1,2,13,13.0,0,0,0,Sterling Shepard,WR, nyg,5
59,"Austin Hooper (TE, LV)",GB,3.1,2.1,1.1,0/0,0%,0,0,0,0,0,0.0,0,2,2,11,5.5,0,0,0,Austin Hooper,TE, lv,5
60,"Hunter Henry (TE, NE)",NO,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0,Hunter Henry,TE, ne,5
61,"Tyler Boyd (WR, CIN)",@ARI,9.9,6.9,3.9,0/0,0%,0,0,0,0,0,0.0,0,6,7,39,6.5,0,0,0,Tyler Boyd,WR, cin,5
62,"Kenyan Drake (RB, BAL)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Kenyan Drake,RB, bal,5
63,"Jacoby Brissett (QB, WAS)",CHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Jacoby Brissett,QB, was,5
64,"Chris Moore (WR, TEN)",@IND,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Chris Moore,WR, ten,5
65,"Tyler Higbee (TE, LAR)",PHI,4.0,3.0,2.0,0/0,0%,0,0,0,0,0,0.0,0,2,3,20,10.0,0,0,0,Tyler Higbee,TE, lar,5
66,"Demarcus Robinson (WR, LAR)",PHI,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Demarcus Robinson,WR, lar,5
67,"Dak Prescott (QB, DAL)",@SF,7.32,9.32,9.32,14/24,58.3%,153,1,3,1,2,2.0,0,0,0,0,0.0,0,0,0,Dak Prescott,QB, dal,5
68,"Tyreek Hill (WR, MIA)",NYG,32.1,28.1,24.1,0/0,0%,0,0,0,0,0,0.0,0,8,9,181,22.6,1,0,0,Tyreek Hill,WR, mia,5
69,"Brandon Allen (QB, SF)",DAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brandon Allen,QB, sf,5
70,"Dwayne Washington (RB, DEN)",NYJ,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Dwayne Washington,RB, den,5
71,"Robbie Chosen (WR, MIA)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Robbie Chosen,WR, mia,5
72,"Kalif Raymond (WR, DET)",CAR,7.5,6.0,4.5,0/0,0%,0,0,0,0,0,0.0,0,3,3,45,15.0,0,0,0,Kalif Raymond,WR, det,5
73,"C.J. Ham (RB, MIN)",KC,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,C.J. Ham,RB, min,5
74,"Mitch Trubisky (QB, PIT)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Mitch Trubisky,QB, pit,5
75,"Joe Mixon (RB, CIN)",@ARI,13.4,11.4,9.4,0/0,0%,0,0,0,25,81,3.2,0,4,4,13,3.2,0,0,0,Joe Mixon,RB, cin,5
76,"Dalvin Cook (RB, NYJ)",@DEN,2.3,2.3,2.3,0/0,0%,0,0,0,6,23,3.8,0,0,0,0,0.0,0,0,0,Dalvin Cook,RB, nyj,5
77,"Christian McCaffrey (RB, SF)",DAL,13.8,12.8,11.8,0/0,0%,0,0,0,19,51,2.7,1,2,3,27,13.5,0,0,1,Christian McCaffrey,RB, sf,5
78,"Alvin Kamara (RB, NO)",@NE,18.7,17.2,15.7,0/0,0%,0,0,0,22,80,3.6,1,3,3,17,5.7,0,0,0,Alvin Kamara,RB, no,5
79,"Cooper Kupp (WR, LAR)",PHI,19.8,15.8,11.8,0/0,0%,0,0,0,0,0,0.0,0,8,12,118,14.8,0,0,0,Cooper Kupp,WR, lar,5
80,"JuJu Smith-Schuster (WR, NE)",NO,3.6,2.1,0.6,0/0,0%,0,0,0,0,0,0.0,0,3,4,6,2.0,0,0,0,JuJu Smith-Schuster,WR, ne,5
81,"Patrick Mahomes (QB, KC)",@MIN,19.24,23.24,23.24,31/41,75.6%,281,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Patrick Mahomes,QB, kc,5
82,"Mo Alie-Cox (TE, IND)",TEN,2.7,2.2,1.7,0/0,0%,0,0,0,0,0,0.0,0,1,1,17,17.0,0,0,0,Mo Alie-Cox,TE, ind,5
83,"Evan Engram (TE, JAX)",@BUF,6.8,4.8,2.8,0/0,0%,0,0,0,0,0,0.0,0,4,8,28,7.0,0,0,0,Evan Engram,TE, jax,5
84,"Zay Jones (WR, JAX)",@BUF,11.3,9.8,8.3,0/0,0%,0,0,0,0,0,0.0,0,3,5,23,7.7,1,0,0,Zay Jones,WR, jax,5
85,"Curtis Samuel (WR, WAS)",CHI,18.5,15.5,12.5,0/0,0%,0,0,0,0,0,0.0,0,6,7,65,10.8,1,0,0,Curtis Samuel,WR, was,5
86,"D'Onta Foreman (RB, CHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,D'Onta Foreman,RB, chi,5
87,"C.J. Beathard (QB, JAX)",@BUF,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,C.J. Beathard,QB, jax,5
88,"James Conner (RB, ARI)",CIN,4.6,4.6,4.6,0/0,0%,0,0,0,6,46,7.7,0,0,0,0,0.0,0,0,0,James Conner,RB, ari,5
89,"Jonnu Smith (TE, ATL)",HOU,10.7,7.7,4.7,0/0,0%,0,0,0,0,0,0.0,0,6,7,67,11.2,0,0,1,Jonnu Smith,TE, atl,5
90,"Samaje Perine (RB, DEN)",NYJ,11.5,9.5,7.5,0/0,0%,0,0,0,6,22,3.7,0,4,5,73,18.2,0,0,1,Samaje Perine,RB, den,5
91,"Josh Reynolds (WR, DET)",CAR,17.6,15.6,13.6,0/0,0%,0,0,0,0,0,0.0,0,4,5,76,19.0,1,0,0,Josh Reynolds,WR, det,5
92,"Mack Hollins (WR, ATL)",HOU,4.9,3.9,2.9,0/0,0%,0,0,0,0,0,0.0,0,2,2,29,14.5,0,0,0,Mack Hollins,WR, atl,5
93,"Joshua Dobbs (QB, ARI)",CIN,10.74,14.74,14.74,15/32,46.9%,166,2,2,3,1,0.3,0,0,0,0,0.0,0,0,1,Joshua Dobbs,QB, ari,5
94,"Isaiah McKenzie (WR, IND)",TEN,0.4,0.4,0.4,0/0,0%,0,0,0,1,4,4.0,0,0,0,0,0.0,0,0,0,Isaiah McKenzie,WR, ind,5
95,"Jamal Agnew (WR, JAX)",@BUF,0.1,0.1,0.1,0/0,0%,0,0,0,1,1,1.0,0,0,0,0,0.0,0,0,0,Jamal Agnew,WR, jax,5
96,"Aaron Jones (RB, GB)",@LV,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Aaron Jones,RB, gb,5
97,"George Kittle (TE, SF)",DAL,27.7,26.2,24.7,0/0,0%,0,0,0,0,0,0.0,0,3,4,67,22.3,3,0,0,George Kittle,TE, sf,5
98,"Trent Taylor (WR, CHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Trent Taylor,WR, chi,5
99,"Johnny Mundt (TE, MIN)",KC,2.1,1.6,1.1,0/0,0%,0,0,0,0,0,0.0,0,1,1,11,11.0,0,0,0,Johnny Mundt,TE, min,5
100,"Zach Pascal (WR, ARI)",CIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Zach Pascal,WR, ari,5
101,"Darrell Daniels (TE, DET)",CAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Darrell Daniels,TE, det,5
102,"Patrick Ricard (RB, BAL)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Patrick Ricard,RB, bal,5
103,"Taysom Hill (QB, NO)",@NE,3.0,2.5,2.0,0/0,0%,0,0,0,3,19,6.3,0,1,1,1,1.0,0,0,0,Taysom Hill,QB, no,5
104,"Pharaoh Brown (TE, NE)",NO,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Pharaoh Brown,TE, ne,5
105,"Kendrick Bourne (WR, NE)",NO,6.3,5.3,4.3,0/0,0%,0,0,0,0,0,0.0,0,2,5,43,21.5,0,0,0,Kendrick Bourne,WR, ne,5
106,"Matt Breida (RB, NYG)",@MIA,3.4,2.9,2.4,0/0,0%,0,0,0,9,21,2.3,0,1,1,3,3.0,0,0,0,Matt Breida,RB, nyg,5
107,"Nick Mullens (QB, MIN)",KC,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Nick Mullens,QB, min,5
108,"Cooper Rush (QB, DAL)",@SF,0.12,0.12,0.12,2/2,100%,8,0,0,1,-2,-2.0,0,0,0,0,0.0,0,0,0,Cooper Rush,QB, dal,5
109,"Robert Tonyan (TE, CHI)",@WAS,3.0,2.0,1.0,0/0,0%,0,0,0,0,0,0.0,0,2,2,10,5.0,0,0,0,Robert Tonyan,TE, chi,5
110,"Corey Clement (RB, ARI)",CIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Corey Clement,RB, ari,5
111,"Dare Ogunbowale (RB, HOU)",@ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Dare Ogunbowale,RB, hou,5
112,"Saquon Barkley (RB, NYG)",@MIA,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Saquon Barkley,RB, nyg,5
113,"Lamar Jackson (QB, BAL)",@PIT,10.94,10.94,10.94,22/38,57.9%,236,0,1,6,45,7.5,0,0,0,0,0.0,0,0,1,Lamar Jackson,QB, bal,5
114,"Rashaad Penny (RB, PHI)",@LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Rashaad Penny,RB, phi,5
115,"Courtland Sutton (WR, DEN)",NYJ,2.3,1.8,1.3,0/0,0%,0,0,0,0,0,0.0,0,1,3,13,13.0,0,0,0,Courtland Sutton,WR, den,5
116,"Josh Allen (QB, BUF)",JAX,28.76,32.76,32.76,27/40,67.5%,359,2,1,4,14,3.5,1,0,0,0,0.0,0,0,0,Josh Allen,QB, buf,5
117,"Calvin Ridley (WR, JAX)",@BUF,20.6,17.1,13.6,0/0,0%,0,0,0,2,14,7.0,0,7,8,122,17.4,0,0,0,Calvin Ridley,WR, jax,5
118,"Mark Andrews (TE, BAL)",@PIT,12.5,9.5,6.5,0/0,0%,0,0,0,0,0,0.0,0,6,10,65,10.8,0,0,0,Mark Andrews,TE, bal,5
119,"Sam Darnold (QB, SF)",DAL,-0.06,-0.06,-0.06,1/1,100%,1,0,0,1,-1,-1.0,0,0,0,0,0.0,0,0,0,Sam Darnold,QB, sf,5
120,"Christian Kirk (WR, JAX)",@BUF,14.4,11.4,8.4,0/0,0%,0,0,0,1,6,6.0,0,6,8,78,13.0,0,0,0,Christian Kirk,WR, jax,5
121,"DJ Chark Jr. (WR, CAR)",@DET,13.2,11.7,10.2,0/0,0%,0,0,0,0,0,0.0,0,3,6,42,14.0,1,0,0,DJ Chark Jr.,WR, car,5
122,"Hayden Hurst (TE, CAR)",@DET,5.1,3.6,2.1,0/0,0%,0,0,0,0,0,0.0,0,3,3,21,7.0,0,0,0,Hayden Hurst,TE, car,5
123,"DJ Moore (WR, CHI)",@WAS,49.0,45.0,41.0,0/0,0%,0,0,0,0,0,0.0,0,8,10,230,28.8,3,0,0,DJ Moore,WR, chi,5
124,"Mason Rudolph (QB, PIT)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Mason Rudolph,QB, pit,5
125,"Mike Gesicki (TE, NE)",NO,3.7,2.7,1.7,0/0,0%,0,0,0,0,0,0.0,0,2,4,17,8.5,0,0,0,Mike Gesicki,TE, ne,5
126,"Dallas Goedert (TE, PHI)",@LAR,25.7,21.7,17.7,0/0,0%,0,0,0,0,0,0.0,0,8,9,117,14.6,1,0,0,Dallas Goedert,TE, phi,5
127,"Michael Gallup (WR, DAL)",@SF,3.5,2.5,1.5,0/0,0%,0,0,0,0,0,0.0,0,2,5,15,7.5,0,0,0,Michael Gallup,WR, dal,5
128,"Ian Thomas (TE, CAR)",@DET,3.8,3.3,2.8,0/0,0%,0,0,0,0,0,0.0,0,1,2,28,28.0,0,0,0,Ian Thomas,TE, car,5
129,"Dalton Schultz (TE, HOU)",@ATL,19.5,16.0,12.5,0/0,0%,0,0,0,0,0,0.0,0,7,10,65,9.3,1,0,0,Dalton Schultz,TE, hou,5
130,"Justin Watson (WR, KC)",@MIN,7.6,6.6,5.6,0/0,0%,0,0,0,0,0,0.0,0,2,3,56,28.0,0,0,0,Justin Watson,WR, kc,5
131,"Durham Smythe (TE, MIA)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Durham Smythe,TE, mia,5
132,"Ray-Ray McCloud III (WR, SF)",DAL,1.1,0.6,0.1,0/0,0%,0,0,0,0,0,0.0,0,1,1,1,1.0,0,0,0,Ray-Ray McCloud III,WR, sf,5
133,"Mike White (QB, MIA)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Mike White,QB, mia,5
134,"Marquez Valdes-Scantling (WR, KC)",@MIN,2.2,1.7,1.2,0/0,0%,0,0,0,0,0,0.0,0,1,2,12,12.0,0,0,0,Marquez Valdes-Scantling,WR, kc,5
135,"Tyler Conklin (TE, NYJ)",@DEN,10.7,8.7,6.7,0/0,0%,0,0,0,0,0,0.0,0,4,5,67,16.8,0,0,0,Tyler Conklin,TE, nyj,5
136,"Cedrick Wilson Jr. (WR, MIA)",NYG,9.2,7.2,5.2,0/0,0%,0,0,0,0,0,0.0,0,4,4,52,13.0,0,0,0,Cedrick Wilson Jr.,WR, mia,5
137,"Nick Bawden (RB, NYJ)",@DEN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Nick Bawden,RB, nyj,5
138,"Braxton Berrios (WR, MIA)",NYG,3.3,2.3,1.3,0/0,0%,0,0,0,0,0,0.0,0,2,2,13,6.5,0,0,0,Braxton Berrios,WR, mia,5
139,"Boston Scott (RB, PHI)",@LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Boston Scott,RB, phi,5
140,"Kyle Allen (QB, BUF)",JAX,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Kyle Allen,QB, buf,5
141,"Logan Woodside (QB, ATL)",HOU,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Logan Woodside,QB, atl,5
142,"Keith Kirkwood (WR, NO)",@NE,1.1,0.6,0.1,0/0,0%,0,0,0,0,0,0.0,0,1,1,1,1.0,0,0,0,Keith Kirkwood,WR, no,5
143,"Trent Sherfield (WR, BUF)",JAX,1.3,0.8,0.3,0/0,0%,0,0,0,0,0,0.0,0,1,1,3,3.0,0,0,0,Trent Sherfield,WR, buf,5
144,"Kevin Rader (TE, TEN)",@IND,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Kevin Rader,TE, ten,5
145,"Allen Lazard (WR, NYJ)",@DEN,6.3,4.8,3.3,0/0,0%,0,0,0,0,0,0.0,0,3,4,33,11.0,0,0,0,Allen Lazard,WR, nyj,5
146,"Byron Pringle (WR, WAS)",CHI,2.0,1.5,1.0,0/0,0%,0,0,0,0,0,0.0,0,1,2,10,10.0,0,0,0,Byron Pringle,WR, was,5
147,"Mike Boone (RB, HOU)",@ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Mike Boone,RB, hou,5
148,"Godwin Igwebuike (RB, PIT)",BAL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Godwin Igwebuike,RB, pit,5
149,"Gus Edwards (RB, BAL)",@PIT,4.8,4.8,4.8,0/0,0%,0,0,0,12,48,4.0,0,0,0,0,0.0,0,0,0,Gus Edwards,RB, bal,5
150,"Tim Boyle (QB, NYJ)",@DEN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tim Boyle,QB, nyj,5
