,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
1882,R. Mostert,11,46,4.2,15,0,0,dal,16
1883,D. Achane,7,24,3.4,9,0,0,dal,16
1884,J. Wilson Jr.,5,21,4.2,8,0,0,dal,16
1885,J. Waddle,1,2,2.0,2,0,0,dal,16
1886,T. Tagovailoa,2,-2,-1.0,-1,0,0,dal,16
1887,T. Pollard,12,38,3.2,7,0,0,mia,16
1888,D. Prescott,5,25,5.0,22,0,1,mia,16
1889,C. Lamb,2,14,7.0,9,0,0,mia,16
1890,B. Cooks,1,9,9.0,9,0,0,mia,16
1891,R. Dowdle,2,4,2.0,4,0,0,mia,16
1892,K. Turpin,1,4,4.0,4,0,0,mia,16
1893,H. Luepke,2,3,1.5,2,0,0,mia,16
1894,K. Williams,22,104,4.7,10,1,0,no,16
1895,R. Rivers,6,20,3.3,10,0,0,no,16
1896,P. Nacua,2,16,8.0,9,0,0,no,16
1897,C. Kupp,1,-3,-3.0,-3,0,0,no,16
1898,M. Stafford,1,-4,-4.0,-4,0,0,no,16
1899,A. Kamara,9,19,2.1,5,0,0,lar,16
1900,J. Williams,2,8,4.0,4,0,0,lar,16
1901,R. Shaheed,1,4,4.0,4,0,0,lar,16
1902,D. Carr,2,2,1.0,3,0,0,lar,16
1903,T. Hill,2,2,1.0,3,0,0,lar,16
1904,R. White,20,39,1.9,11,1,0,jax,16
1905,C. Edmonds,10,25,2.5,6,0,0,jax,16
1906,B. Mayfield,5,5,1.0,7,0,0,jax,16
1907,C. Godwin,1,1,1.0,1,0,0,jax,16
1908,T. Lawrence,4,29,7.3,15,0,0,tb,16
1909,T. Etienne Jr.,6,12,2.0,4,0,0,tb,16
1910,C. Beathard,1,6,6.0,6,0,0,tb,16
1911,D. Johnson,1,2,2.0,2,0,0,tb,16
1912,C. Ridley,1,-12,-12.0,-12,0,0,tb,16
1913,K. Herbert,20,112,5.6,15,1,0,ari,16
1914,J. Fields,9,97,10.8,39,1,0,ari,16
1915,R. Johnson,9,37,4.1,10,0,0,ari,16
1916,V. Jones Jr.,1,4,4.0,4,0,0,ari,16
1917,J. Conner,12,45,3.8,16,0,0,chi,16
1918,K. Murray,5,32,6.4,12,0,0,chi,16
1919,E. Demercado,2,10,5.0,7,0,0,chi,16
1920,R. Moore,1,6,6.0,6,0,0,chi,16
1921,D. Swift,20,92,4.6,17,1,0,nyg,16
1922,K. Gainwell,6,41,6.8,22,0,0,nyg,16
1923,J. Hurts,8,34,4.3,16,1,0,nyg,16
1924,B. Scott,1,3,3.0,3,0,0,nyg,16
1925,S. Barkley,23,80,3.5,12,1,0,phi,16
1926,T. Taylor,2,21,10.5,15,0,0,phi,16
1927,T. DeVito,1,5,5.0,5,0,0,phi,16
1928,J. McLaughlin,6,37,6.2,12,0,0,ne,16
1929,J. Williams,11,24,2.2,9,1,0,ne,16
1930,R. Wilson,4,20,5.0,14,0,0,ne,16
1931,S. Perine,1,2,2.0,2,0,0,ne,16
1932,M. Burton,1,0,0.0,0,0,0,ne,16
1933,E. Elliott,12,27,2.3,6,0,0,den,16
1934,K. Harris,7,21,3.0,6,0,0,den,16
1935,T. Thornton,1,9,9.0,9,0,0,den,16
1936,B. Zappe,1,2,2.0,2,0,0,den,16
1937,P. Mahomes,10,53,5.3,13,0,0,lv,16
1938,I. Pacheco,11,26,2.4,12,1,1,lv,16
1939,C. Edwards-Helaire,4,6,1.5,4,0,0,lv,16
1940,Z. White,22,145,6.6,43,0,0,kc,16
1941,A. Abdullah,2,11,5.5,7,0,0,kc,16
1942,T. Tucker,1,5,5.0,5,0,0,kc,16
1943,A. O'Connell,4,-4,-1.0,-1,0,0,kc,16
1944,D. Henry,19,88,4.6,12,1,0,sea,16
1945,T. Spears,9,40,4.4,11,0,0,sea,16
1946,R. Tannehill,2,37,18.5,23,0,0,sea,16
1947,T. Burks,1,-3,-3.0,-3,0,0,sea,16
1948,K. Walker III,16,54,3.4,24,0,0,ten,16
1949,D. Dallas,1,2,2.0,2,0,0,ten,16
1950,G. Smith,1,2,2.0,2,0,0,ten,16
1951,Z. Charbonnet,2,0,0.0,3,0,0,ten,16
1952,B. Hall,20,95,4.8,36,2,0,was,16
1953,I. Abanikanda,9,43,4.8,12,0,0,was,16
1954,T. Siemian,4,18,4.5,13,0,1,was,16
1955,X. Gipson,1,16,16.0,16,0,0,was,16
1956,T. Conklin,1,0,0.0,0,0,0,was,16
1957,G. Wilson,1,-8,-8.0,-8,0,0,was,16
1958,C. Rodriguez Jr.,10,58,5.8,16,2,0,nyj,16
1959,A. Gibson,9,30,3.3,11,1,0,nyj,16
1960,J. Brissett,1,10,10.0,10,0,0,nyj,16
1961,C. Samuel,2,4,2.0,6,0,0,nyj,16
1962,D. Singletary,9,44,4.9,17,0,0,cle,16
1963,D. Mills,2,9,4.5,9,0,0,cle,16
1964,R. Woods,1,7,7.0,7,0,0,cle,16
1965,D. Pierce,3,6,2.0,4,0,0,cle,16
1966,D. Ogunbowale,1,6,6.0,6,0,0,cle,16
1967,J. Ford,15,25,1.7,10,1,0,hou,16
1968,P. Strong Jr.,5,22,4.4,8,0,0,hou,16
1969,K. Hunt,7,11,1.6,4,1,0,hou,16
1970,J. Flacco,2,1,0.5,2,0,0,hou,16
1971,D. Thompson-Robinson,1,-5,-5.0,-5,0,0,hou,16
1972,T. Chandler,8,17,2.1,6,1,0,det,16
1973,N. Mullens,1,1,1.0,1,0,0,det,16
1974,A. Mattison,2,-1,-0.5,1,0,0,det,16
1975,J. Gibbs,15,80,5.3,18,2,1,min,16
1976,D. Montgomery,17,55,3.2,11,1,0,min,16
1977,K. Raymond,1,8,8.0,8,0,0,min,16
1978,J. Goff,3,0,0.0,2,0,0,min,16
1979,C. Hubbard,16,43,2.7,13,1,0,gb,16
1980,I. Smith-Marsette,2,33,16.5,20,1,0,gb,16
1981,B. Young,4,17,4.3,9,0,0,gb,16
1982,M. Sanders,3,3,1.0,3,0,0,gb,16
1983,A. Jones,21,127,6.0,39,0,0,car,16
1984,A. Dillon,7,12,1.7,3,1,0,car,16
1985,J. Love,2,12,6.0,11,1,0,car,16
1986,B. Melton,1,7,7.0,7,0,0,car,16
1987,P. Taylor,3,4,1.3,2,0,0,car,16
1988,N. Harris,19,78,4.1,13,1,0,cin,16
1989,J. Warren,8,24,3.0,5,0,0,cin,16
1990,C. Austin III,1,7,7.0,7,1,0,cin,16
1991,M. Rudolph,2,4,2.0,7,0,0,cin,16
1992,J. Mixon,11,43,3.9,13,0,0,pit,16
1993,C. Brown,4,16,4.0,5,0,0,pit,16
1994,J. Browning,1,0,0.0,0,0,0,pit,16
1995,A. Ekeler,15,65,4.3,10,0,0,buf,16
1996,E. Stick,7,25,3.6,21,1,0,buf,16
1997,D. Davis,1,8,8.0,8,0,0,buf,16
1998,I. Spiller,2,1,0.5,1,0,0,buf,16
1999,Q. Johnston,1,1,1.0,1,0,0,buf,16
2000,J. Kelley,1,-2,-2.0,-2,0,0,buf,16
2001,J. Cook,20,70,3.5,10,0,1,lac,16
2002,L. Fournette,5,20,4.0,9,0,0,lac,16
2003,J. Allen,5,15,3.0,6,2,0,lac,16
2004,B. Robinson,12,72,6.0,32,0,0,ind,16
2005,T. Allgeier,9,69,7.7,31,1,0,ind,16
2006,C. Patterson,7,26,3.7,11,0,0,ind,16
2007,T. Heinicke,2,10,5.0,10,0,0,ind,16
2008,J. Taylor,18,43,2.4,13,1,0,atl,16
2009,G. Minshew II,4,31,7.8,23,0,0,atl,16
2010,T. Goodson,1,15,15.0,15,0,0,atl,16
2011,T. Sermon,2,3,1.5,4,0,0,atl,16
