,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
1598,A. Kamara,14,51,3.6,16,2,0,det,13
1599,J. Williams,5,10,2.0,4,0,0,det,13
1600,D. Carr,2,-1,-0.5,0,0,1,det,13
1601,L. Bowden Jr.,2,-6,-3.0,4,0,0,det,13
1602,J. Gibbs,8,60,7.5,36,0,0,no,13
1603,D. Montgomery,18,56,3.1,13,1,0,no,13
1604,J. Williams,1,19,19.0,19,1,0,no,13
1605,K. Raymond,1,9,9.0,9,0,0,no,13
1606,J. Goff,2,-2,-1.0,-1,0,0,no,13
1607,E. Elliott,17,52,3.1,8,0,0,lac,13
1608,R. Stevenson,9,39,4.3,9,0,1,lac,13
1609,T. Thornton,1,39,39.0,39,0,0,lac,13
1610,B. Zappe,4,16,4.0,5,0,0,lac,13
1611,T. Montgomery II,1,2,2.0,2,0,0,lac,13
1612,A. Ekeler,14,18,1.3,4,0,0,ne,13
1613,J. Kelley,6,16,2.7,7,0,0,ne,13
1614,J. Herbert,4,-5,-1.3,1,0,0,ne,13
1615,B. Robinson Jr.,7,53,7.6,29,0,0,mia,13
1616,A. Gibson,10,35,3.5,9,0,0,mia,13
1617,C. Rodriguez Jr.,7,29,4.1,15,0,0,mia,13
1618,S. Howell,4,21,5.3,13,2,0,mia,13
1619,D. Achane,17,73,4.3,15,2,0,was,13
1620,R. Mostert,11,43,3.9,12,1,0,was,13
1621,J. Wilson Jr.,4,11,2.8,6,0,0,was,13
1622,T. Hill,2,-4,-2.0,6,0,0,was,13
1623,M. Trubisky,8,30,3.8,15,1,0,ne,14
1624,N. Harris,12,29,2.4,7,0,0,ne,14
1625,C. Austin III,1,12,12.0,12,0,0,ne,14
1626,J. Warren,7,11,1.6,7,0,0,ne,14
1627,E. Elliott,22,68,3.1,12,0,0,pit,14
1628,B. Zappe,3,13,4.3,11,0,0,pit,14
1629,S. Barkley,20,86,4.3,34,2,1,gb,14
1630,T. DeVito,10,71,7.1,26,0,0,gb,14
1631,W. Robinson,2,36,18.0,32,0,0,gb,14
1632,M. Breida,2,16,8.0,9,0,0,gb,14
1633,A. Dillon,15,53,3.5,8,0,0,nyg,14
1634,J. Reed,4,38,9.5,20,1,0,nyg,14
1635,P. Taylor,4,30,7.5,14,0,0,nyg,14
1636,J. Love,2,2,1.0,2,0,1,nyg,14
1637,T. Pollard,16,59,3.7,11,0,0,phi,14
1638,R. Dowdle,12,46,3.8,9,1,0,phi,14
1639,K. Turpin,1,22,22.0,22,0,0,phi,14
1640,D. Prescott,3,11,3.7,4,0,0,phi,14
1641,D. Swift,11,39,3.5,7,0,0,dal,14
1642,J. Hurts,5,30,6.0,11,0,1,dal,14
1643,K. Gainwell,4,28,7.0,11,0,0,dal,14
1644,B. Scott,3,9,3.0,4,0,0,dal,14
1645,C. McCaffrey,16,145,9.1,72,0,0,sea,14
1646,J. Mason,4,20,5.0,8,1,0,sea,14
1647,B. Purdy,2,7,3.5,8,0,0,sea,14
1648,D. Samuel,1,1,1.0,1,1,0,sea,14
1649,Z. Charbonnet,9,44,4.9,23,0,0,sf,14
1650,K. Walker III,8,21,2.6,12,0,0,sf,14
1651,D. Lock,3,5,1.7,3,0,0,sf,14
1652,J. Jacobs,13,34,2.6,6,0,0,min,14
1653,A. Abdullah,1,12,12.0,12,0,0,min,14
1654,Z. White,2,8,4.0,6,0,0,min,14
1655,A. O'Connell,1,2,2.0,2,0,0,min,14
