,Total,Sack,Int,PD,FF,team,opp,weekn,home,points,pass_Comp,pass_Att,pass_Yds,pass_TD,rush_Rush,rush_Yds,rush_Avg,rush_TD,rec_Rec,rec_Yds,rec_Avg
64,42.0,6.0,2.0,5.0,0.0,cin,lar,3,1,16,18,33,269,1,13.0,71.0,36.8,0.0,18.0,269.0,103.6
65,56.0,2.0,1.0,6.0,0.0,lar,cin,3,0,19,26,49,259,0,23.0,67.0,6.7,1.0,26.0,259.0,68.1
66,79.0,1.0,2.0,3.0,0.0,tb,phi,3,1,25,23,37,277,1,40.0,201.0,14.0,1.0,23.0,277.0,77.8
67,41.0,2.0,1.0,2.0,2.0,phi,tb,3,0,11,15,25,146,1,17.0,41.0,5.2,0.0,15.0,146.0,57.7
68,63.0,0.0,0.0,4.0,0.0,nyj,ne,3,1,15,15,29,201,1,40.0,157.0,16.4,0.0,15.0,201.0,113.0
69,54.0,3.0,0.0,5.0,1.0,ne,nyj,3,0,10,18,36,157,0,22.0,38.0,5.8,1.0,18.0,157.0,68.0
70,66.0,0.0,1.0,8.0,0.0,was,buf,3,1,37,20,32,218,1,33.0,168.0,23.8,2.0,20.0,218.0,95.9
71,50.0,9.0,4.0,5.0,1.0,buf,was,3,0,3,19,29,170,0,13.0,105.0,33.5,0.0,19.0,170.0,61.39999999999999
72,63.0,1.0,0.0,3.0,4.0,min,lac,3,1,28,41,48,454,4,15.0,30.0,10.1,0.0,41.0,454.0,65.7
73,65.0,4.0,1.0,8.0,1.0,lac,min,3,0,24,32,50,367,3,24.0,130.0,23.7,0.0,32.0,367.0,100.20000000000002
74,55.0,1.0,1.0,8.0,3.0,mia,den,3,1,20,23,38,306,1,20.0,69.0,12.8,0.0,23.0,306.0,87.9
75,75.0,0.0,0.0,0.0,0.0,den,mia,3,0,70,25,28,376,5,43.0,350.0,23.9,5.0,25.0,376.0,146.0
76,50.0,3.0,1.0,3.0,1.0,kc,chi,3,1,10,11,22,99,1,26.0,116.0,13.5,0.0,11.0,99.0,53.2
77,81.0,0.0,2.0,4.0,0.0,chi,kc,3,0,41,27,38,303,3,37.0,153.0,21.1,2.0,27.0,303.0,119.0
78,59.0,3.0,0.0,8.0,0.0,sea,car,3,1,27,34,58,361,2,14.0,44.0,13.7,1.0,34.0,361.0,91.3
79,64.0,2.0,1.0,3.0,0.0,car,sea,3,0,37,23,36,296,1,33.0,146.0,13.0,2.0,23.0,296.0,84.7
80,73.0,2.0,1.0,9.0,0.0,ari,dal,3,1,16,25,40,249,1,33.0,185.0,32.1,0.0,25.0,249.0,69.7
81,60.0,2.0,0.0,1.0,0.0,dal,ari,3,0,28,17,21,189,1,30.0,222.0,37.8,2.0,17.0,189.0,79.2
82,59.0,1.0,0.0,3.0,0.0,lv,pit,3,1,23,16,28,235,2,31.0,105.0,10.7,0.0,16.0,235.0,82.2
83,57.0,4.0,3.0,6.0,0.0,pit,lv,3,0,18,28,44,324,2,19.0,69.0,7.1,0.0,28.0,324.0,63.8
84,61.0,0.0,0.0,2.0,0.0,jax,hou,3,1,37,20,30,280,2,26.0,86.0,11.5,1.0,20.0,280.0,90.6
85,68.0,0.0,1.0,5.0,1.0,hou,jax,3,0,17,29,42,288,1,27.0,116.0,15.6,1.0,29.0,288.0,77.2
86,87.0,4.0,0.0,5.0,1.0,bal,ind,3,1,22,27,44,227,1,35.0,139.0,7.5,0.0,27.0,227.0,64.0
87,75.0,4.0,0.0,1.0,3.0,ind,bal,3,0,19,22,31,202,0,37.0,186.0,17.0,2.0,22.0,202.0,77.6
88,61.0,7.0,0.0,7.0,1.0,det,atl,3,1,6,21,38,201,0,20.0,44.0,2.5,0.0,21.0,201.0,94.4
89,72.0,0.0,1.0,4.0,0.0,atl,det,3,0,20,22,33,243,1,31.0,115.0,17.400000000000002,1.0,22.0,243.0,37.6
90,56.0,4.0,0.0,6.0,0.0,gb,no,3,1,17,23,34,204,1,22.0,77.0,10.7,0.0,23.0,204.0,49.6
91,57.0,1.0,1.0,13.0,0.0,no,gb,3,0,18,22,44,259,1,26.0,95.0,23.3,1.0,22.0,259.0,68.8
92,40.0,5.0,0.0,4.0,1.0,cle,ten,3,1,3,13,25,104,0,15.0,26.0,3.3,0.0,13.0,104.0,44.599999999999994
93,79.0,3.0,0.0,0.0,2.0,ten,cle,3,0,27,27,33,289,2,31.0,78.0,15.6,1.0,27.0,289.0,70.8
94,41.0,2.0,1.0,3.0,0.0,sf,nyg,3,1,12,22,33,137,0,11.0,29.0,10.1,1.0,22.0,137.0,50.5
