,Total,Sack,Int,PD,FF,team,opp,weekn,home,points,pass_Comp,pass_Att,pass_Yds,pass_TD,rush_Rush,rush_Yds,rush_Avg,rush_TD,rec_Rec,rec_Yds,rec_Avg
211,61.0,1.0,0.0,2.0,1.0,buf,ne,7,0,29,25,30,272,2,24.0,96.0,30.3,1.0,25.0,272.0,95.0
212,47.0,3.0,2.0,6.0,2.0,den,kc,8,1,9,24,38,240,0,16.0,62.0,14.7,0.0,24.0,240.0,98.2
213,71.0,6.0,0.0,2.0,2.0,kc,den,8,0,24,12,19,114,3,40.0,153.0,20.2,0.0,12.0,114.0,54.8
214,53.0,3.0,0.0,8.0,0.0,buf,tb,8,1,18,25,42,237,2,17.0,78.0,27.3,0.0,25.0,237.0,64.9
215,71.0,2.0,1.0,6.0,0.0,tb,buf,8,0,24,31,40,324,2,26.0,115.0,12.1,1.0,31.0,324.0,55.8
216,41.0,6.0,1.0,3.0,1.0,det,lv,8,1,14,10,21,126,0,18.0,80.0,17.1,1.0,10.0,126.0,93.5
217,88.0,1.0,1.0,3.0,2.0,lv,det,8,0,26,26,37,272,1,43.0,222.0,8.1,1.0,26.0,272.0,82.5
218,57.0,4.0,0.0,5.0,1.0,ari,bal,8,1,31,18,27,157,1,29.0,130.0,29.4,3.0,18.0,157.0,57.8
219,68.0,2.0,2.0,4.0,1.0,bal,ari,8,0,24,25,37,208,2,32.0,129.0,20.7,1.0,25.0,208.0,46.5
220,59.0,1.0,2.0,7.0,0.0,lac,chi,8,1,13,25,37,232,0,25.0,73.0,12.5,2.0,25.0,232.0,98.3
221,63.0,0.0,0.0,3.0,1.0,chi,lac,8,0,30,31,40,298,3,25.0,54.0,7.4,0.0,31.0,298.0,66.8
222,70.0,3.0,0.0,3.0,2.0,sf,cin,8,1,31,28,32,283,3,27.0,134.0,17.6,1.0,28.0,283.0,65.10000000000001
223,54.0,2.0,2.0,4.0,1.0,cin,sf,8,0,17,22,31,365,1,23.0,113.0,14.7,1.0,22.0,365.0,70.60000000000001
224,56.0,2.0,0.0,3.0,1.0,was,phi,8,1,38,29,38,319,4,22.0,59.0,3.0999999999999996,1.0,29.0,319.0,65.9
225,63.0,1.0,1.0,6.0,1.0,phi,was,8,0,31,39,52,397,4,16.0,84.0,16.6,0.0,39.0,397.0,85.1
226,77.0,3.0,2.0,6.0,1.0,sea,cle,8,1,20,16,32,257,1,40.0,155.0,11.6,1.0,16.0,257.0,110.1
227,44.0,1.0,2.0,4.0,1.0,cle,sea,8,0,24,23,37,254,2,17.0,114.0,15.4,1.0,23.0,254.0,72.5
228,65.0,6.0,0.0,4.0,1.0,ten,atl,8,1,23,20,34,246,1,26.0,140.0,28.7,1.0,20.0,246.0,92.2
229,63.0,2.0,0.0,2.0,0.0,atl,ten,8,0,28,19,29,238,4,36.0,149.0,23.2,0.0,19.0,238.0,87.1
230,67.0,3.0,1.0,2.0,2.0,pit,jax,8,1,20,24,32,292,1,30.0,106.0,20.3,0.0,24.0,292.0,62.400000000000006
231,51.0,3.0,2.0,7.0,1.0,jax,pit,8,0,10,25,43,211,1,18.0,70.0,26.700000000000003,0.0,25.0,211.0,60.099999999999994
232,50.0,4.0,0.0,8.0,1.0,nyg,nyj,8,1,13,17,36,240,1,22.0,58.0,20.2,0.0,17.0,240.0,61.0
233,84.0,4.0,0.0,4.0,1.0,nyj,nyg,8,0,10,6,14,7,0,52.0,203.0,24.3,1.0,6.0,7.0,7.0
234,49.0,3.0,1.0,4.0,0.0,mia,ne,8,1,17,19,29,161,2,19.0,77.0,11.0,0.0,19.0,161.0,70.8
235,64.0,2.0,1.0,6.0,0.0,ne,mia,8,0,31,30,45,324,3,26.0,78.0,9.9,1.0,30.0,324.0,80.6
236,71.0,3.0,0.0,5.0,1.0,gb,min,8,1,24,26,35,297,2,31.0,62.0,12.0,1.0,26.0,297.0,66.8
237,58.0,4.0,1.0,7.0,2.0,min,gb,8,0,10,24,41,229,1,17.0,74.0,14.4,0.0,24.0,229.0,67.3
238,72.0,1.0,0.0,2.0,1.0,ind,no,8,1,38,20,29,354,2,36.0,161.0,17.8,3.0,20.0,354.0,126.0
239,63.0,2.0,1.0,10.0,0.0,no,ind,8,0,27,23,41,213,2,24.0,164.0,16.9,1.0,23.0,213.0,89.0
240,64.0,2.0,0.0,4.0,1.0,car,hou,8,1,13,16,24,140,0,30.0,110.0,23.8,2.0,16.0,140.0,59.8
241,68.0,6.0,0.0,3.0,0.0,hou,car,8,0,15,22,31,235,1,24.0,44.0,6.3999999999999995,0.0,22.0,235.0,86.0
242,52.0,2.0,1.0,5.0,0.0,dal,lar,8,1,20,18,32,204,1,24.0,92.0,20.5,1.0,18.0,204.0,77.1
243,59.0,3.0,1.0,6.0,0.0,lar,dal,8,0,43,27,34,307,4,26.0,102.0,26.799999999999997,0.0,27.0,307.0,80.8
244,49.0,5.0,0.0,6.0,2.0,nyj,lac,9,1,27,16,30,136,0,21.0,84.0,17.1,2.0,16.0,136.0,41.1
245,71.0,8.0,0.0,7.0,3.0,lac,nyj,9,0,6,33,49,263,0,20.0,64.0,10.1,0.0,33.0,263.0,81.4
246,59.0,4.0,1.0,6.0,0.0,pit,ten,9,1,16,22,39,262,0,25.0,105.0,20.0,1.0,22.0,262.0,114.8
247,63.0,0.0,0.0,3.0,0.0,ten,pit,9,0,20,19,30,160,1,30.0,166.0,16.3,1.0,19.0,160.0,55.2
248,64.0,1.0,0.0,3.0,0.0,car,ind,9,1,27,17,26,127,1,30.0,78.0,7.300000000000001,0.0,17.0,127.0,47.4
249,63.0,4.0,3.0,8.0,1.0,ind,car,9,0,13,24,39,173,1,28.0,138.0,18.299999999999997,0.0,24.0,173.0,69.89999999999999
250,63.0,8.0,2.0,5.0,1.0,lv,nyg,9,1,6,19,29,200,1,25.0,123.0,18.9,0.0,19.0,200.0,68.6
251,62.0,0.0,0.0,2.0,0.0,nyg,lv,9,0,30,16,25,209,0,34.0,125.0,28.3,3.0,16.0,209.0,108.5
252,64.0,2.0,3.0,7.0,2.0,no,chi,9,1,17,18,30,220,2,32.0,156.0,13.0,0.0,18.0,220.0,69.8
253,68.0,0.0,0.0,2.0,0.0,chi,no,9,0,24,26,35,214,3,27.0,87.0,10.6,0.0,26.0,214.0,92.1
254,50.0,1.0,1.0,2.0,1.0,cin,buf,9,1,18,26,38,258,1,16.0,68.0,10.8,1.0,26.0,258.0,56.5
255,57.0,1.0,0.0,7.0,0.0,buf,cin,9,0,24,31,44,348,2,22.0,54.0,7.7,1.0,31.0,348.0,88.0
256,75.0,3.0,1.0,6.0,1.0,ne,was,9,1,20,29,45,325,1,29.0,124.0,14.6,1.0,29.0,325.0,87.7
257,49.0,0.0,1.0,10.0,0.0,was,ne,9,0,17,24,44,220,1,19.0,107.0,13.5,1.0,24.0,220.0,62.8
258,66.0,5.0,0.0,6.0,1.0,phi,dal,9,1,23,29,44,374,3,21.0,73.0,10.6,0.0,29.0,374.0,72.2
259,60.0,3.0,0.0,1.0,2.0,dal,phi,9,0,28,17,23,207,2,33.0,109.0,17.3,2.0,17.0,207.0,67.6
260,50.0,1.0,1.0,10.0,1.0,gb,lar,9,1,3,13,28,130,0,26.0,68.0,8.899999999999999,0.0,13.0,130.0,67.0
261,80.0,4.0,0.0,1.0,2.0,lar,gb,9,0,20,20,26,228,1,38.0,184.0,41.599999999999994,1.0,20.0,228.0,101.1
262,48.0,7.0,2.0,8.0,1.0,cle,ari,9,1,0,11,20,58,0,21.0,41.0,8.0,0.0,11.0,58.0,22.8
263,77.0,1.0,0.0,1.0,0.0,ari,cle,9,0,27,19,30,219,2,40.0,113.0,15.2,1.0,19.0,219.0,54.9
264,68.0,2.0,0.0,3.0,2.0,hou,tb,9,1,37,21,30,265,2,31.0,81.0,5.2,2.0,21.0,265.0,68.0
265,54.0,3.0,0.0,1.0,2.0,tb,hou,9,0,39,30,42,470,5,17.0,53.0,18.0,0.0,30.0,470.0,92.0
266,55.0,3.0,0.0,0.0,2.0,kc,mia,9,1,14,21,34,193,1,21.0,117.0,29.9,1.0,21.0,193.0,74.2
267,57.0,2.0,0.0,3.0,1.0,mia,kc,9,0,21,20,30,185,2,24.0,93.0,11.1,0.0,20.0,185.0,91.8
268,80.0,4.0,0.0,6.0,2.0,atl,min,9,1,31,25,36,236,2,33.0,146.0,20.799999999999997,1.0,25.0,236.0,85.6
269,64.0,1.0,1.0,4.0,1.0,min,atl,9,0,28,21,38,268,1,28.0,110.0,14.6,1.0,21.0,268.0,82.5
270,34.0,4.0,1.0,7.0,1.0,bal,sea,9,1,3,13,28,157,0,15.0,28.0,5.8,0.0,13.0,157.0,83.2
271,76.0,1.0,0.0,2.0,2.0,sea,bal,9,0,37,26,33,225,1,41.0,298.0,36.8,3.0,26.0,225.0,53.900000000000006
272,72.0,3.0,0.0,2.0,0.0,ari,atl,10,1,23,12,21,94,1,41.0,184.0,24.2,2.0,12.0,94.0,46.5
273,53.0,2.0,1.0,6.0,0.0,atl,ari,10,0,25,19,32,249,0,26.0,122.0,25.1,2.0,19.0,249.0,70.8
274,48.0,5.0,1.0,6.0,0.0,dal,nyg,10,1,17,14,27,86,2,23.0,111.0,15.0,0.0,14.0,86.0,44.0
275,68.0,0.0,2.0,5.0,0.0,nyg,dal,10,0,49,33,44,472,4,33.0,168.0,33.3,3.0,33.0,472.0,96.2
276,60.0,0.0,0.0,2.0,0.0,lac,det,10,1,41,23,33,333,2,31.0,200.0,19.0,3.0,23.0,333.0,92.2
277,67.0,0.0,1.0,5.0,0.0,det,lac,10,0,38,27,40,323,4,28.0,98.0,10.5,1.0,27.0,323.0,59.2
278,54.0,3.0,0.0,4.0,0.0,chi,car,10,1,13,21,38,185,0,16.0,43.0,9.6,0.0,21.0,185.0,103.5
279,67.0,0.0,0.0,4.0,0.0,car,chi,10,0,16,20,33,162,0,37.0,133.0,29.9,1.0,20.0,162.0,56.1
280,58.0,2.0,1.0,5.0,1.0,lv,nyj,10,1,12,23,40,263,0,21.0,108.0,22.2,0.0,23.0,263.0,89.0
281,70.0,3.0,1.0,4.0,2.0,nyj,lv,10,0,16,16,27,153,1,32.0,148.0,34.8,0.0,16.0,153.0,52.6
282,80.0,4.0,0.0,0.0,1.0,buf,den,10,1,24,24,29,193,2,38.0,122.0,13.4,0.0,24.0,193.0,67.3
283,51.0,0.0,2.0,4.0,2.0,den,buf,10,0,22,15,26,177,1,26.0,192.0,22.0,2.0,15.0,177.0,79.5
284,51.0,3.0,0.0,7.0,1.0,sea,was,10,1,26,29,44,312,3,14.0,68.0,16.6,0.0,29.0,312.0,85.0
285,72.0,1.0,0.0,5.0,0.0,was,sea,10,0,29,31,47,369,2,26.0,120.0,23.6,0.0,31.0,369.0,130.8
286,47.0,4.0,1.0,6.0,0.0,tb,ten,10,1,6,19,39,199,0,16.0,42.0,5.800000000000001,0.0,19.0,199.0,72.3
287,63.0,3.0,1.0,2.0,0.0,ten,tb,10,0,20,18,29,278,2,29.0,77.0,13.8,0.0,18.0,278.0,79.3
288,71.0,1.0,1.0,7.0,1.0,cin,hou,10,1,30,23,39,356,1,34.0,188.0,39.0,2.0,23.0,356.0,93.2
289,56.0,4.0,2.0,2.0,1.0,hou,cin,10,0,27,27,40,347,2,16.0,66.0,8.2,1.0,27.0,347.0,85.4
290,57.0,1.0,2.0,7.0,0.0,pit,gb,10,1,19,21,40,289,2,24.0,116.0,16.0,0.0,21.0,289.0,109.4
291,67.0,1.0,0.0,5.0,0.0,gb,pit,10,0,23,14,23,126,0,36.0,205.0,21.8,2.0,14.0,126.0,60.900000000000006
292,53.0,0.0,1.0,4.0,0.0,ne,ind,10,1,10,18,28,194,0,26.0,70.0,4.5,1.0,18.0,194.0,77.3
293,73.0,5.0,2.0,3.0,1.0,ind,ne,10,0,6,18,27,195,0,36.0,167.0,16.900000000000002,0.0,18.0,195.0,73.7
294,54.0,3.0,2.0,7.0,1.0,min,no,10,1,19,26,43,232,2,15.0,65.0,22.5,0.0,26.0,232.0,78.7
295,69.0,1.0,0.0,6.0,0.0,no,min,10,0,27,23,34,268,1,33.0,125.0,16.4,2.0,23.0,268.0,64.3
296,60.0,2.0,0.0,4.0,0.0,jax,sf,10,1,34,20,28,302,3,30.0,144.0,17.5,1.0,20.0,302.0,113.3
297,51.0,5.0,2.0,6.0,2.0,sf,jax,10,0,3,18,32,190,0,17.0,59.0,13.1,0.0,18.0,190.0,57.3
298,77.0,4.0,1.0,3.0,1.0,bal,cle,10,1,33,20,35,213,1,36.0,178.0,16.099999999999998,1.0,20.0,213.0,47.8
299,49.0,3.0,2.0,6.0,0.0,cle,bal,10,0,31,13,23,223,1,24.0,106.0,22.1,2.0,13.0,223.0,130.1
300,49.0,2.0,3.0,8.0,0.0,mia,lv,11,1,13,24,41,271,1,16.0,36.0,-0.2000000000000001,0.0,24.0,271.0,77.9
301,80.0,1.0,1.0,4.0,2.0,lv,mia,11,0,20,28,39,325,2,28.0,99.0,9.9,0.0,28.0,325.0,90.2
302,50.0,6.0,2.0,5.0,2.0,buf,nyj,11,1,6,15,30,132,1,18.0,63.0,24.6,0.0,15.0,132.0,61.8
303,70.0,1.0,1.0,3.0,1.0,nyj,buf,11,0,32,20,32,275,3,38.0,130.0,11.5,0.0,20.0,275.0,89.2
304,69.0,2.0,1.0,5.0,2.0,den,min,11,1,20,20,32,221,1,36.0,175.0,14.4,1.0,20.0,221.0,66.3
305,56.0,2.0,0.0,2.0,1.0,min,den,11,0,21,27,35,259,1,15.0,46.0,11.9,0.0,27.0,259.0,70.0
306,44.0,5.0,1.0,3.0,1.0,kc,phi,11,1,21,14,22,150,0,27.0,114.0,13.7,3.0,14.0,150.0,44.3
307,61.0,1.0,1.0,5.0,1.0,phi,kc,11,0,17,24,43,177,2,30.0,168.0,35.0,0.0,24.0,177.0,49.4
308,57.0,5.0,0.0,7.0,0.0,bal,cin,11,1,20,19,31,169,2,23.0,136.0,31.3,0.0,19.0,169.0,53.3
309,53.0,3.0,0.0,2.0,1.0,cin,bal,11,0,34,16,26,264,2,31.0,157.0,23.299999999999997,2.0,16.0,264.0,132.8
310,58.0,4.0,1.0,11.0,1.0,sf,tb,11,1,14,29,45,246,1,18.0,66.0,30.0,1.0,29.0,246.0,96.1
311,65.0,4.0,0.0,0.0,0.0,tb,sf,11,0,27,21,25,333,3,30.0,115.0,12.2,0.0,21.0,333.0,68.3
312,52.0,9.0,0.0,5.0,0.0,was,nyg,11,1,31,18,26,246,3,19.0,91.0,14.6,0.0,18.0,246.0,82.19999999999999
313,78.0,4.0,3.0,8.0,4.0,nyg,was,11,0,19,31,45,256,1,28.0,174.0,34.7,1.0,31.0,256.0,81.1
314,58.0,2.0,1.0,7.0,0.0,lar,sea,11,1,16,24,40,236,1,21.0,68.0,10.6,0.0,24.0,236.0,75.0
315,57.0,1.0,1.0,6.0,0.0,sea,lar,11,0,17,17,31,190,1,27.0,82.0,12.0,1.0,17.0,190.0,85.7
316,53.0,2.0,0.0,5.0,1.0,gb,lac,11,1,20,21,36,260,2,24.0,150.0,17.7,0.0,21.0,260.0,99.4
317,65.0,3.0,0.0,5.0,1.0,lac,gb,11,0,23,27,40,322,2,28.0,102.0,25.9,1.0,27.0,322.0,112.9
318,60.0,0.0,0.0,8.0,0.0,car,dal,11,1,33,27,41,204,2,27.0,107.0,30.0,1.0,27.0,204.0,67.1
319,64.0,6.0,1.0,2.0,1.0,dal,car,11,0,10,16,29,123,1,23.0,110.0,11.7,0.0,16.0,123.0,49.8
320,52.0,3.0,0.0,4.0,0.0,cle,pit,11,1,10,15,28,106,0,26.0,172.0,18.5,1.0,15.0,106.0,45.5
321,70.0,1.0,1.0,6.0,0.0,pit,cle,11,0,13,24,43,165,0,29.0,96.0,21.3,1.0,24.0,165.0,36.8
322,68.0,3.0,0.0,3.0,3.0,min,chi,12,1,12,27,37,217,0,28.0,118.0,12.4,0.0,27.0,217.0,34.5
323,46.0,2.0,4.0,8.0,2.0,chi,min,12,0,10,22,32,185,1,17.0,73.0,14.7,0.0,22.0,185.0,52.8
324,48.0,2.0,0.0,3.0,1.0,jax,ten,11,1,14,13,17,158,2,19.0,92.0,45.8,0.0,13.0,158.0,107.8
325,72.0,1.0,0.0,2.0,0.0,ten,jax,11,0,34,24,32,262,2,36.0,128.0,30.299999999999997,2.0,24.0,262.0,89.8
326,58.0,2.0,1.0,7.0,0.0,hou,ari,11,1,16,20,30,214,1,25.0,123.0,18.7,1.0,20.0,214.0,99.3
327,68.0,4.0,3.0,7.0,0.0,ari,hou,11,0,21,28,38,338,2,25.0,111.0,4.1,1.0,28.0,338.0,85.2
328,53.0,0.0,0.0,1.0,0.0,det,gb,12,1,29,22,32,268,3,22.0,109.0,27.8,0.0,22.0,268.0,75.3
329,75.0,3.0,0.0,2.0,3.0,gb,det,12,0,22,29,44,332,2,31.0,140.0,18.6,1.0,29.0,332.0,90.8
330,75.0,2.0,0.0,2.0,2.0,det,chi,11,1,26,16,23,169,1,46.0,183.0,15.3,1.0,16.0,169.0,60.900000000000006
331,54.0,2.0,3.0,5.0,1.0,chi,det,11,0,31,23,35,236,2,22.0,115.0,12.3,2.0,23.0,236.0,74.4
332,65.0,2.0,0.0,5.0,1.0,lac,bal,12,1,20,18,32,177,1,35.0,197.0,57.1,1.0,18.0,177.0,81.3
333,60.0,3.0,1.0,7.0,3.0,bal,lac,12,0,10,29,44,217,1,19.0,86.0,17.2,0.0,29.0,217.0,57.8
334,56.0,1.0,0.0,0.0,0.0,lv,kc,12,1,31,27,34,298,2,23.0,69.0,7.2,2.0,27.0,298.0,58.7
335,55.0,1.0,0.0,2.0,0.0,kc,lv,12,0,17,23,34,248,1,23.0,123.0,18.5,1.0,23.0,248.0,70.6
336,52.0,6.0,1.0,5.0,1.0,ind,tb,12,1,20,20,31,199,2,19.0,125.0,22.4,0.0,20.0,199.0,59.3
337,64.0,2.0,1.0,7.0,0.0,tb,ind,12,0,27,24,41,251,0,27.0,155.0,18.0,3.0,24.0,251.0,78.1
338,66.0,4.0,0.0,3.0,1.0,ten,car,12,1,10,18,31,194,0,32.0,96.0,12.8,1.0,18.0,194.0,88.7
339,49.0,1.0,0.0,5.0,0.0,car,ten,12,0,17,18,28,185,0,24.0,80.0,7.199999999999999,2.0,18.0,185.0,60.6
340,71.0,0.0,1.0,1.0,0.0,ari,lar,12,1,37,25,33,229,4,33.0,228.0,18.8,1.0,25.0,229.0,65.6
341,54.0,4.0,0.0,10.0,0.0,lar,ari,12,0,14,27,45,256,1,15.0,73.0,26.3,1.0,27.0,256.0,80.89999999999999
342,80.0,1.0,1.0,9.0,0.0,phi,buf,12,1,34,29,51,339,2,40.0,173.0,18.2,2.0,29.0,339.0,68.6
343,51.0,2.0,1.0,5.0,0.0,buf,phi,12,0,37,18,31,200,3,32.0,185.0,30.3,2.0,18.0,200.0,74.5
344,56.0,4.0,0.0,4.0,2.0,den,cle,12,1,12,20,42,190,1,24.0,107.0,13.5,0.0,20.0,190.0,51.8
345,58.0,1.0,0.0,2.0,1.0,cle,den,12,0,29,13,22,134,1,39.0,169.0,27.6,2.0,13.0,134.0,71.8
346,66.0,2.0,3.0,7.0,2.0,nyg,ne,12,1,7,21,35,143,0,31.0,147.0,12.8,1.0,21.0,143.0,49.5
347,45.0,6.0,0.0,4.0,1.0,ne,nyg,12,0,10,17,25,191,1,19.0,58.0,8.0,0.0,17.0,191.0,76.3
348,74.0,2.0,0.0,3.0,1.0,cin,pit,12,1,16,24,33,278,0,33.0,153.0,11.4,1.0,24.0,278.0,80.9
349,39.0,4.0,1.0,6.0,1.0,pit,cin,12,0,10,19,26,227,1,11.0,25.0,5.0,0.0,19.0,227.0,111.5
350,66.0,1.0,1.0,5.0,2.0,atl,no,12,1,15,24,38,304,0,28.0,148.0,34.8,0.0,24.0,304.0,91.1
351,69.0,0.0,2.0,4.0,0.0,no,atl,12,0,24,13,21,168,1,41.0,228.0,21.8,1.0,13.0,168.0,62.9
352,73.0,2.0,2.0,5.0,0.0,nyj,mia,12,1,34,21,30,243,1,37.0,167.0,18.3,2.0,21.0,243.0,41.3
353,48.0,7.0,2.0,6.0,1.0,mia,nyj,12,0,13,27,38,179,1,10.0,29.0,6.6,0.0,27.0,179.0,60.0
354,69.0,0.0,1.0,6.0,0.0,hou,jax,12,1,24,23,38,364,1,30.0,81.0,11.5,1.0,23.0,364.0,127.7
355,55.0,4.0,0.0,3.0,0.0,jax,hou,12,0,21,26,36,304,2,18.0,91.0,25.6,1.0,26.0,304.0,109.9
356,67.0,1.0,1.0,3.0,1.0,sea,sf,12,1,31,21,31,209,1,33.0,169.0,15.7,3.0,21.0,209.0,83.6
357,61.0,6.0,1.0,5.0,0.0,sf,sea,12,0,13,18,27,180,0,21.0,88.0,23.7,0.0,18.0,180.0,97.5
358,78.0,4.0,1.0,5.0,0.0,dal,was,12,1,10,28,44,300,0,27.0,108.0,18.8,1.0,28.0,300.0,94.8
359,42.0,0.0,0.0,3.0,1.0,was,dal,12,0,45,22,32,331,4,18.0,100.0,19.8,1.0,22.0,331.0,192.8
360,54.0,1.0,1.0,6.0,0.0,dal,sea,13,1,35,23,41,334,3,22.0,72.0,12.2,2.0,23.0,334.0,102.9
361,76.0,4.0,0.0,3.0,0.0,sea,dal,13,0,41,29,41,299,3,34.0,136.0,24.7,1.0,29.0,299.0,84.8
362,64.0,2.0,1.0,5.0,0.0,lar,cle,13,1,19,23,44,254,2,23.0,87.0,16.1,0.0,23.0,254.0,83.4
363,53.0,0.0,0.0,2.0,0.0,cle,lar,13,0,36,22,37,279,3,25.0,120.0,19.2,1.0,22.0,279.0,87.1
364,67.0,3.0,1.0,5.0,0.0,gb,kc,13,1,19,21,33,210,1,25.0,148.0,21.6,1.0,21.0,210.0,72.1
365,62.0,2.0,0.0,0.0,0.0,kc,gb,13,0,27,25,36,267,3,25.0,129.0,33.1,0.0,25.0,267.0,86.7
366,84.0,2.0,1.0,2.0,0.0,jax,cin,13,1,34,33,39,347,1,31.0,156.0,26.4,3.0,33.0,347.0,90.9
367,75.0,4.0,0.0,5.0,1.0,cin,jax,13,0,31,31,39,321,2,25.0,71.0,15.8,2.0,31.0,321.0,89.9
368,61.0,3.0,3.0,7.0,0.0,hou,den,13,1,17,15,26,186,1,30.0,118.0,24.7,1.0,15.0,186.0,92.0
369,67.0,5.0,0.0,1.0,1.0,den,hou,13,0,22,17,28,292,1,30.0,89.0,10.0,1.0,17.0,292.0,79.5
370,55.0,2.0,0.0,1.0,0.0,phi,sf,13,1,42,19,27,314,4,28.0,146.0,25.6,2.0,19.0,314.0,83.2
371,56.0,3.0,0.0,11.0,0.0,sf,phi,13,0,19,28,48,314,1,18.0,46.0,12.6,1.0,28.0,314.0,73.2
372,61.0,3.0,1.0,3.0,1.0,tb,car,13,1,18,15,31,178,0,34.0,133.0,13.1,2.0,15.0,178.0,66.5
373,50.0,1.0,1.0,5.0,0.0,car,tb,13,0,21,14,29,202,1,28.0,128.0,42.2,2.0,14.0,202.0,42.400000000000006
374,64.0,2.0,0.0,3.0,1.0,pit,ari,13,1,24,13,23,145,1,38.0,150.0,12.7,2.0,13.0,145.0,62.1
375,62.0,0.0,0.0,4.0,0.0,ari,pit,13,0,10,18,27,187,1,31.0,130.0,13.2,0.0,18.0,187.0,58.8
376,64.0,3.0,0.0,3.0,1.0,nyj,atl,13,1,13,12,27,121,1,34.0,90.0,8.399999999999999,0.0,12.0,121.0,60.5
377,63.0,4.0,1.0,3.0,4.0,atl,nyj,13,0,8,19,38,214,0,25.0,62.0,16.1,0.0,19.0,214.0,71.6
378,64.0,3.0,0.0,7.0,1.0,ten,ind,13,1,31,26,42,312,2,23.0,55.0,5.4,0.0,26.0,312.0,82.0
379,77.0,6.0,0.0,5.0,4.0,ind,ten,13,0,28,16,33,224,1,42.0,177.0,7.100000000000001,2.0,16.0,224.0,113.0
380,54.0,1.0,0.0,2.0,0.0,no,det,13,1,33,16,25,213,2,30.0,142.0,37.6,2.0,16.0,213.0,64.1
381,68.0,2.0,1.0,4.0,0.0,det,no,13,0,28,19,29,267,1,36.0,113.0,6.6,3.0,19.0,267.0,102.0
382,62.0,0.0,0.0,6.0,0.0,ne,lac,13,1,6,22,37,212,0,24.0,29.0,2.7,0.0,22.0,212.0,76.0
383,63.0,5.0,0.0,3.0,2.0,lac,ne,13,0,0,13,25,141,0,32.0,148.0,52.4,0.0,13.0,141.0,55.5
384,59.0,0.0,0.0,2.0,0.0,was,mia,13,1,45,19,25,283,2,34.0,123.0,9.0,3.0,19.0,283.0,76.3
385,55.0,3.0,1.0,4.0,1.0,mia,was,13,0,15,12,23,127,0,28.0,138.0,20.5,2.0,12.0,127.0,39.1
386,56.0,2.0,1.0,3.0,0.0,pit,ne,14,1,21,19,28,240,3,25.0,81.0,7.4,0.0,19.0,240.0,72.8
387,70.0,2.0,1.0,4.0,0.0,ne,pit,14,0,18,22,36,190,1,28.0,82.0,19.8,1.0,22.0,190.0,82.9
388,67.0,2.0,1.0,6.0,2.0,nyg,gb,14,1,22,25,39,218,1,25.0,123.0,21.5,1.0,25.0,218.0,77.9
389,52.0,0.0,0.0,0.0,0.0,gb,nyg,14,0,24,17,21,158,1,34.0,209.0,37.4,2.0,17.0,158.0,50.2
390,52.0,1.0,0.0,3.0,3.0,dal,phi,14,1,13,19,28,225,0,23.0,106.0,19.5,0.0,19.0,225.0,60.5
391,74.0,3.0,0.0,9.0,1.0,phi,dal,14,0,33,24,39,271,2,32.0,138.0,33.2,1.0,24.0,271.0,72.0
392,54.0,4.0,2.0,7.0,0.0,sf,sea,14,1,16,22,31,269,2,20.0,70.0,9.2,0.0,22.0,269.0,93.9
393,51.0,3.0,1.0,5.0,1.0,sea,sf,14,0,28,19,27,368,2,23.0,173.0,18.6,2.0,19.0,368.0,84.6
394,66.0,5.0,0.0,3.0,0.0,lv,min,14,1,3,19,36,146,0,30.0,132.0,22.2,0.0,19.0,146.0,54.2
395,54.0,4.0,1.0,2.0,1.0,min,lv,14,0,0,21,32,171,0,17.0,56.0,20.6,0.0,21.0,171.0,58.4
396,63.0,2.0,1.0,4.0,0.0,lac,den,14,1,24,21,33,224,2,31.0,106.0,15.7,1.0,21.0,224.0,114.2
397,65.0,6.0,1.0,8.0,2.0,den,lac,14,0,7,22,42,275,0,19.0,76.0,10.3,1.0,22.0,275.0,87.2
398,61.0,1.0,1.0,10.0,1.0,mia,ten,14,1,28,23,38,327,1,29.0,83.0,14.9,2.0,23.0,327.0,95.7
399,62.0,5.0,0.0,3.0,1.0,ten,mia,14,0,27,23,33,240,0,31.0,158.0,16.3,2.0,23.0,240.0,79.8
400,62.0,3.0,1.0,7.0,0.0,kc,buf,14,1,20,23,42,233,1,28.0,118.0,15.8,1.0,23.0,233.0,106.8
401,56.0,1.0,1.0,5.0,1.0,buf,kc,14,0,17,25,43,271,1,18.0,82.0,24.3,1.0,25.0,271.0,85.9
402,60.0,4.0,2.0,7.0,1.0,chi,det,14,1,13,20,35,161,1,24.0,140.0,20.6,1.0,20.0,161.0,69.8
403,60.0,3.0,0.0,4.0,1.0,det,chi,14,0,28,19,33,223,1,30.0,142.0,24.7,2.0,19.0,223.0,80.5
404,44.0,4.0,0.0,10.0,0.0,nyj,hou,14,1,6,11,28,95,0,19.0,81.0,10.8,1.0,11.0,95.0,64.2
405,60.0,4.0,0.0,3.0,1.0,hou,nyj,14,0,30,27,36,301,2,26.0,79.0,24.6,1.0,27.0,301.0,62.400000000000006
406,62.0,1.0,0.0,5.0,1.0,atl,tb,14,1,29,14,29,144,2,37.0,148.0,13.1,1.0,14.0,144.0,68.1
407,68.0,3.0,1.0,8.0,2.0,tb,atl,14,0,25,26,40,347,1,26.0,96.0,13.900000000000002,2.0,26.0,347.0,83.30000000000001
