,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
1829,Jordan Akins,1,6,6.0,6,0,1,0,sea,8
1830,Jerome Ford,1,2,2.0,2,0,2,0,sea,8
1831,Harrison Bryant,0,0,0.0,0,0,1,0,sea,8
1832,DeAndre Hopkins,4,128,32.0,61,3,6,0,atl,8
1833,Nick Westbrook-Ikhine,1,33,33.0,33,1,2,0,atl,8
1834,Kyle Philips,3,24,8.0,10,0,3,0,atl,8
1835,Chig Okonkwo,4,23,5.8,12,0,5,0,atl,8
1836,Derrick Henry,4,21,5.3,8,0,4,0,atl,8
1837,Tyjae Spears,3,9,3.0,5,0,4,0,atl,8
1838,Treylon Burks,0,0,0.0,0,0,2,0,atl,8
1839,KhaDarel Hodge,3,75,25.0,52,0,3,0,ten,8
1840,Drake London,5,55,11.0,21,0,7,0,ten,8
1841,Kyle Pitts,3,35,11.7,14,0,5,0,ten,8
1842,Mack Hollins,2,27,13.5,20,0,3,0,ten,8
1843,Van Jefferson,3,24,8.0,11,0,5,0,ten,8
1844,Scotty Miller,2,14,7.0,8,1,2,0,ten,8
1845,Jonnu Smith,1,13,13.0,13,0,1,0,ten,8
1846,MyCole Pruitt,1,3,3.0,3,0,2,0,ten,8
1847,Bijan Robinson,0,0,0.0,0,0,5,0,ten,8
1848,Diontae Johnson,8,85,10.6,16,0,14,0,jax,8
1849,Najee Harris,5,42,8.4,13,0,5,0,jax,8
1850,Connor Heyward,5,24,4.8,9,0,6,0,jax,8
1851,George Pickens,1,22,22.0,22,1,5,0,jax,8
1852,Jaylen Warren,4,19,4.8,11,0,5,0,jax,8
1853,Calvin Austin III,2,19,9.5,12,0,2,0,jax,8
1854,Allen Robinson II,0,0,0.0,0,0,1,0,jax,8
1855,Rodney Williams II,0,0,0.0,0,0,2,0,jax,8
1856,Evan Engram,10,88,8.8,34,0,10,1,pit,8
1857,Calvin Ridley,6,83,13.8,27,0,10,0,pit,8
1858,Travis Etienne Jr.,3,70,23.3,56,1,6,0,pit,8
1859,Christian Kirk,4,46,11.5,29,0,5,0,pit,8
1860,Luke Farrell,1,5,5.0,5,0,1,0,pit,8
1861,Saquon Barkley,3,0,0.0,1,0,5,0,nyj,8
1862,Matt Breida,1,4,4.0,4,0,1,0,nyj,8
1863,Darren Waller,1,4,4.0,4,0,2,0,nyj,8
1864,Darius Slayton,1,-1,-1.0,-1,0,2,0,nyj,8
1865,Daniel Bellinger,0,0,0.0,0,0,1,0,nyj,8
1866,Wan'Dale Robinson,0,0,0.0,0,0,1,0,nyj,8
1867,Garrett Wilson,7,100,14.3,29,0,13,0,nyg,8
1868,Breece Hall,6,76,12.7,50,1,9,0,nyg,8
1869,Allen Lazard,3,45,15.0,29,0,6,0,nyg,8
1870,C.J. Uzomah,1,19,19.0,19,0,1,0,nyg,8
1871,Michael Carter,0,0,0.0,0,0,1,0,nyg,8
1872,Tyler Conklin,0,0,0.0,0,0,2,0,nyg,8
1873,Xavier Gipson,0,0,0.0,0,0,1,0,nyg,8
1874,Jeremy Ruckert,0,0,0.0,0,0,1,0,nyg,8
1875,Jaylen Waddle,7,121,17.3,31,1,12,0,ne,8
1876,Tyreek Hill,8,112,14.0,42,1,13,0,ne,8
1877,Durham Smythe,3,28,9.3,15,0,3,0,ne,8
1878,Salvon Ahmed,4,16,4.0,20,0,4,0,ne,8
1879,Chase Claypool,1,15,15.0,15,0,2,0,ne,8
1880,Jeff Wilson Jr.,2,14,7.0,7,0,2,0,ne,8
1881,Braxton Berrios,2,8,4.0,5,0,3,0,ne,8
1882,Alec Ingold,1,5,5.0,5,0,2,0,ne,8
1883,Julian Hill,1,4,4.0,4,0,2,0,ne,8
1884,Cedrick Wilson Jr.,1,1,1.0,1,1,1,0,ne,8
1885,Kendrick Bourne,3,36,12.0,24,1,4,0,mia,8
1886,Pharaoh Brown,2,33,16.5,24,0,2,0,mia,8
1887,Hunter Henry,3,28,9.3,16,0,3,0,mia,8
1888,Demario Douglas,5,25,5.0,13,0,7,0,mia,8
1889,DeVante Parker,1,14,14.0,14,0,2,0,mia,8
1890,Mike Gesicki,2,11,5.5,6,0,3,0,mia,8
1891,Rhamondre Stevenson,2,11,5.5,9,0,4,0,mia,8
1892,JuJu Smith-Schuster,1,3,3.0,3,1,1,0,mia,8
1893,Jalen Reagor,0,0,0.0,0,0,2,0,mia,8
1894,Jayden Reed,4,83,20.8,34,0,6,0,min,8
1895,AJ Dillon,5,41,8.2,16,0,5,0,min,8
1896,Christian Watson,3,33,11.0,17,0,8,0,min,8
1897,Dontayvion Wicks,2,28,14.0,17,0,4,0,min,8
1898,Romeo Doubs,4,18,4.5,10,1,9,0,min,8
1899,Aaron Jones,4,17,4.3,7,0,5,0,min,8
1900,Luke Musgrave,2,9,4.5,7,0,3,0,min,8
1901,K.J. Osborn,8,99,12.4,32,0,10,0,gb,8
1902,T.J. Hockenson,6,88,14.7,23,1,9,0,gb,8
1903,Jordan Addison,7,82,11.7,20,1,8,0,gb,8
1904,Brandon Powell,1,10,10.0,10,0,3,0,gb,8
1905,Johnny Mundt,1,8,8.0,8,0,1,0,gb,8
1906,Cam Akers,1,6,6.0,6,0,1,0,gb,8
1907,C.J. Ham,1,2,2.0,2,0,1,0,gb,8
1908,Alexander Mattison,1,2,2.0,2,0,1,0,gb,8
1909,Josh Downs,7,72,10.3,17,0,9,0,no,8
1910,Alec Pierce,3,41,13.7,19,0,5,0,no,8
1911,Michael Pittman Jr.,8,40,5.0,10,1,13,0,no,8
1912,Drew Ogletree,1,33,33.0,33,1,3,0,no,8
1913,Mo Alie-Cox,1,11,11.0,11,0,2,0,no,8
1914,Zack Moss,1,8,8.0,8,0,1,0,no,8
1915,Will Mallory,1,6,6.0,6,0,2,0,no,8
1916,Jonathan Taylor,1,2,2.0,2,0,2,0,no,8
1917,Juwann Winfree,0,0,0.0,0,0,1,0,no,8
1918,Rashid Shaheed,3,153,51.0,58,1,3,0,ind,8
1919,Michael Thomas,4,68,17.0,31,0,7,0,ind,8
1920,Alvin Kamara,4,51,12.8,25,1,5,0,ind,8
1921,Chris Olave,5,46,9.2,15,0,9,0,ind,8
1922,Taysom Hill,1,14,14.0,14,0,1,0,ind,8
1923,Kendre Miller,1,9,9.0,9,0,1,0,ind,8
1924,Jamaal Williams,1,8,8.0,8,0,1,0,ind,8
1925,Juwan Johnson,1,5,5.0,5,0,2,0,ind,8
1926,Adam Thielen,8,72,9.0,31,0,11,0,hou,8
1927,Jonathan Mingo,4,62,15.5,40,0,5,0,hou,8
1928,Raheem Blackshear,2,26,13.0,19,0,2,0,hou,8
1929,Chuba Hubbard,2,26,13.0,14,0,2,0,hou,8
1930,DJ Chark Jr.,2,23,11.5,20,0,4,0,hou,8
1931,Stephen Sullivan,1,13,13.0,13,0,1,0,hou,8
1932,Terrace Marshall Jr.,1,9,9.0,9,0,1,0,hou,8
1933,Tommy Tremble,2,4,2.0,3,1,3,0,hou,8
1934,Hayden Hurst,0,0,0.0,0,0,2,0,hou,8
1935,Noah Brown,3,57,19.0,31,0,5,0,car,8
1936,Nico Collins,4,30,7.5,15,0,6,0,car,8
1937,Tank Dell,3,16,5.3,9,0,4,0,car,8
1938,Devin Singletary,2,13,6.5,10,0,2,0,car,8
1939,Mike Boone,1,11,11.0,11,0,1,0,car,8
1940,Andrew Beck,1,8,8.0,8,0,1,1,car,8
1941,Dalton Schultz,2,5,2.5,9,0,5,0,car,8
1942,CeeDee Lamb,12,158,13.2,26,2,14,0,lar,8
1943,Brandin Cooks,3,49,16.3,25,1,4,0,lar,8
1944,Jake Ferguson,4,47,11.8,18,1,4,0,lar,8
1945,Michael Gallup,2,20,10.0,14,0,3,0,lar,8
1946,Luke Schoonmaker,1,13,13.0,13,0,1,0,lar,8
1947,KaVontae Turpin,1,13,13.0,13,0,2,0,lar,8
1948,Rico Dowdle,2,7,3.5,5,0,2,0,lar,8
1949,Tony Pollard,1,2,2.0,2,0,1,0,lar,8
1950,Hunter Luepke,1,-2,-2.0,-2,0,1,0,lar,8
1951,Sean McKeon,0,0,0.0,0,0,1,0,lar,8
1952,Jalen Tolbert,0,0,0.0,0,0,1,0,lar,8
1953,Darrell Henderson Jr.,3,54,18.0,32,0,3,0,dal,8
1954,Tyler Higbee,5,45,9.0,20,0,7,0,dal,8
1955,Puka Nacua,3,43,14.3,22,0,7,0,dal,8
1956,Cooper Kupp,4,21,5.3,9,0,10,0,dal,8
1957,Tutu Atwell,2,21,10.5,20,0,4,0,dal,8
1958,Ben Skowronek,1,20,20.0,20,1,1,0,dal,8
1959,G. Wilson,7,80,11.4,31,0,13,1,lac,9
1960,T. Conklin,6,66,11.0,33,0,6,0,lac,9
1961,X. Gipson,2,32,16.0,19,0,2,0,lac,9
1962,M. Carter,6,24,4.0,7,0,6,0,lac,9
1963,A. Lazard,2,18,9.0,12,0,6,0,lac,9
1964,C. Uzomah,2,11,5.5,8,0,5,0,lac,9
1965,B. Hall,4,10,2.5,5,0,4,0,lac,9
1966,N. Bawden,1,7,7.0,7,0,1,0,lac,9
1967,J. Ruckert,1,7,7.0,7,0,1,0,lac,9
1968,M. Taylor,1,7,7.0,7,0,2,0,lac,9
1969,D. Cook,1,1,1.0,1,0,2,0,lac,9
1970,K. Allen,8,77,9.6,23,0,9,0,nyj,9
1971,A. Ekeler,2,23,11.5,17,0,7,0,nyj,9
1972,G. Everett,2,18,9.0,17,0,2,0,nyj,9
1973,Q. Johnston,2,14,7.0,10,0,3,0,nyj,9
1974,J. Kelley,1,4,4.0,4,0,1,0,nyj,9
1975,D. Davis,1,0,0.0,0,0,1,0,nyj,9
1976,J. Guyton,0,0,0.0,0,0,2,0,nyj,9
1977,D. Parham Jr.,0,0,0.0,0,0,2,0,nyj,9
1978,S. Smartt,0,0,0.0,0,0,1,0,nyj,9
1979,D. Johnson,7,90,12.9,32,1,9,0,ten,9
1980,J. Warren,3,25,8.3,9,0,3,0,ten,9
1981,C. Heyward,2,16,8.0,11,0,3,0,ten,9
1982,A. Robinson II,1,10,10.0,10,0,2,0,ten,9
1983,N. Harris,2,7,3.5,4,0,4,0,ten,9
1984,D. Washington,1,7,7.0,7,0,1,0,ten,9
1985,M. Boykin,1,6,6.0,6,0,1,0,ten,9
1986,G. Pickens,2,-1,-0.5,2,0,5,0,ten,9
1987,C. Austin III,0,0,0.0,0,0,1,0,ten,9
1988,K. Philips,4,68,17.0,24,0,5,0,pit,9
1989,D. Hopkins,4,60,15.0,29,0,11,0,pit,9
1990,C. Moore,1,29,29.0,29,0,2,0,pit,9
1991,C. Okonkwo,3,28,9.3,12,0,4,0,pit,9
1992,D. Henry,3,27,9.0,23,0,4,0,pit,9
1993,T. Burks,2,23,11.5,21,0,3,0,pit,9
1994,N. Westbrook-Ikhine,1,23,23.0,23,0,1,0,pit,9
1995,T. Spears,4,4,1.0,8,0,6,0,pit,9
1996,J. Whyle,0,0,0.0,0,0,1,0,pit,9
1997,H. Hurst,2,54,27.0,48,0,4,0,ind,9
1998,A. Thielen,5,29,5.8,7,0,6,0,ind,9
1999,S. Sullivan,4,28,7.0,9,0,5,0,ind,9
2000,M. Sanders,3,22,7.3,11,0,5,0,ind,9
2001,T. Tremble,2,12,6.0,11,0,2,0,ind,9
2002,C. Hubbard,4,9,2.3,4,0,6,0,ind,9
2003,D. Chark Jr.,2,9,4.5,5,1,3,0,ind,9
2004,R. Blackshear,1,5,5.0,5,0,1,0,ind,9
2005,J. Mingo,1,5,5.0,5,0,4,0,ind,9
2006,T. Marshall Jr.,0,0,0.0,0,0,1,0,ind,9
2007,M. Pittman Jr.,8,64,8.0,16,0,8,0,car,9
2008,J. Taylor,5,22,4.4,10,1,5,0,car,9
2009,D. Ogletree,1,19,19.0,19,0,3,0,car,9
2010,I. McKenzie,2,12,6.0,11,0,3,0,car,9
2011,J. Downs,1,10,10.0,10,0,1,0,car,9
2012,K. Granson,0,0,0.0,0,0,2,0,car,9
2013,A. Pierce,0,0,0.0,0,0,2,0,car,9
2014,T. Tucker,2,52,26.0,50,0,3,0,nyg,9
2015,J. Meyers,2,38,19.0,24,0,5,0,nyg,9
2016,D. Adams,4,34,8.5,12,0,7,0,nyg,9
2017,H. Renfrow,2,32,16.0,19,0,3,0,nyg,9
2018,A. Abdullah,2,17,8.5,11,0,2,0,nyg,9
2019,D. Carter,1,15,15.0,15,0,1,0,nyg,9
2020,M. Mayer,2,11,5.5,7,0,2,0,nyg,9
2021,A. Hooper,1,10,10.0,10,0,1,0,nyg,9
2022,D. Slayton,4,59,14.8,34,0,7,0,lv,9
2023,D. Bellinger,3,43,14.3,23,0,3,0,lv,9
2024,W. Robinson,4,35,8.8,12,1,5,0,lv,9
2025,S. Barkley,3,23,7.7,12,0,4,0,lv,9
2026,J. Hyatt,2,19,9.5,13,0,5,0,lv,9
2027,P. Campbell,2,15,7.5,10,0,2,0,lv,9
2028,M. Breida,1,6,6.0,6,0,2,0,lv,9
2029,I. Hodgins,0,0,0.0,0,0,1,0,lv,9
2030,C. Olave,6,46,7.7,14,1,8,0,chi,9
2031,A. Kamara,4,44,11.0,17,0,5,0,chi,9
2032,K. Miller,1,31,31.0,31,0,1,0,chi,9
2033,J. Johnson,5,29,5.8,14,1,5,0,chi,9
2034,F. Moreau,1,23,23.0,23,0,1,0,chi,9
2035,R. Shaheed,3,22,7.3,12,0,3,0,chi,9
2036,T. Hill,4,13,3.3,6,1,5,0,chi,9
2037,J. Williams,2,6,3.0,4,0,3,0,chi,9
2038,M. Thomas,0,0,0.0,0,0,1,0,chi,9
2039,D. Mooney,5,82,16.4,38,0,6,0,no,9
2040,C. Kmet,6,55,9.2,18,2,8,0,no,9
2041,D. Moore,3,44,14.7,18,0,5,1,no,9
2042,D. Evans,2,19,9.5,17,0,2,0,no,9
2043,R. Tonyan,1,11,11.0,11,0,1,0,no,9
2044,R. Johnson,1,9,9.0,9,0,1,0,no,9
2045,V. Jones Jr.,0,0,0.0,0,0,1,0,no,9
2046,T. Scott,0,0,0.0,0,0,2,0,no,9
2047,T. Higgins,8,110,13.8,21,0,9,0,buf,9
2048,T. Boyd,3,56,18.7,32,0,5,0,buf,9
2049,T. Hudson,4,45,11.3,17,0,5,0,buf,9
2050,J. Chase,4,41,10.3,32,0,8,0,buf,9
2051,J. Mixon,5,31,6.2,15,0,6,0,buf,9
2052,D. Sample,3,30,10.0,22,1,4,0,buf,9
2053,I. Smith Jr.,3,26,8.7,11,1,4,0,buf,9
2054,A. Iosivas,1,9,9.0,9,0,1,0,buf,9
2055,S. Diggs,6,86,14.3,34,1,7,0,cin,9
2056,D. Kincaid,10,81,8.1,13,0,11,1,cin,9
2057,K. Shakir,4,57,14.3,23,0,4,0,cin,9
2058,J. Cook,4,19,4.8,8,0,4,0,cin,9
2059,T. Sherfield,1,9,9.0,9,0,2,0,cin,9
2060,L. Murray,1,6,6.0,6,0,1,0,cin,9
2061,G. Davis,0,0,0.0,0,0,2,0,cin,9
2062,D. Harty,0,0,0.0,0,0,1,0,cin,9
2063,D. Douglas,5,55,11.0,18,0,7,0,was,9
2064,J. Smith-Schuster,6,51,8.5,20,0,7,0,was,9
2065,R. Stevenson,4,42,10.5,15,0,6,0,was,9
2066,H. Henry,4,39,9.8,14,1,6,0,was,9
2067,E. Elliott,3,15,5.0,6,0,5,0,was,9
2068,J. Reagor,1,11,11.0,11,0,6,0,was,9
2069,T. Thornton,1,7,7.0,7,0,4,0,was,9
2070,M. Gesicki,0,0,0.0,0,0,2,0,was,9
2071,T. McLaurin,5,73,14.6,36,0,8,0,ne,9
2072,J. Dotson,4,69,17.3,33,1,8,0,ne,9
2073,B. Pringle,3,55,18.3,26,0,4,0,ne,9
2074,A. Gibson,5,42,8.4,12,0,5,0,ne,9
2075,D. Brown,2,33,16.5,19,0,4,0,ne,9
2076,L. Thomas,4,31,7.8,11,0,5,0,ne,9
2077,J. Crowder,4,23,5.8,7,0,6,0,ne,9
2078,B. Robinson Jr.,1,4,4.0,4,0,2,0,ne,9
2079,J. Bates,1,-5,-5.0,-5,0,2,0,ne,9
2080,A. Brown,7,66,9.4,20,1,9,0,dal,9
2081,D. Smith,3,51,17.0,29,1,3,0,dal,9
2082,D. Goedert,3,50,16.7,28,0,4,0,dal,9
2083,D. Swift,2,31,15.5,20,0,2,0,dal,9
2084,O. Zaccheaus,1,8,8.0,8,0,2,0,dal,9
2085,K. Gainwell,1,1,1.0,1,0,1,0,dal,9
2086,C. Lamb,11,191,17.4,29,0,16,1,phi,9
2087,J. Ferguson,7,91,13.0,40,1,10,0,phi,9
2088,J. Tolbert,3,49,16.3,32,1,5,0,phi,9
2089,M. Gallup,2,19,9.5,11,0,3,0,phi,9
2090,T. Pollard,3,12,4.0,8,0,5,0,phi,9
2091,B. Cooks,1,7,7.0,7,0,2,0,phi,9
2092,K. Turpin,1,5,5.0,5,1,1,0,phi,9
2093,L. Schoonmaker,1,0,0.0,0,0,1,0,phi,9
2094,H. Luepke,0,0,0.0,0,0,1,0,phi,9
2095,L. Musgrave,3,51,17.0,25,1,4,0,lar,9
2096,D. Wicks,4,49,12.3,18,0,4,1,lar,9
2097,C. Watson,1,37,37.0,37,0,2,0,lar,9
2098,R. Doubs,3,36,12.0,17,0,3,0,lar,9
2099,A. Jones,4,26,6.5,13,0,6,0,lar,9
2100,J. Reed,3,19,6.3,11,0,3,0,lar,9
2101,J. Deguara,1,7,7.0,7,0,1,0,lar,9
2102,A. Dillon,1,3,3.0,3,0,1,0,lar,9
2103,M. Heath,0,0,0.0,0,0,1,0,lar,9
2104,C. Kupp,2,48,24.0,34,0,7,0,gb,9
2105,P. Nacua,3,32,10.7,18,0,7,0,gb,9
2106,D. Henderson Jr.,2,16,8.0,8,0,2,0,gb,9
2107,D. Robinson,1,15,15.0,15,0,1,0,gb,9
2108,T. Atwell,4,13,3.3,5,0,7,0,gb,9
2109,A. Trammell,1,6,6.0,6,0,1,0,gb,9
2110,R. Freeman,0,0,0.0,0,0,1,0,gb,9
2111,T. Higbee,0,0,0.0,0,0,1,0,gb,9
2112,A. Cooper,5,139,27.8,59,1,5,0,ari,9
2113,J. Ford,5,33,6.6,17,0,7,0,ari,9
2114,D. Njoku,4,26,6.5,15,1,6,0,ari,9
2115,E. Moore,2,14,7.0,11,0,2,0,ari,9
2116,J. Akins,1,11,11.0,11,0,3,0,ari,9
2117,C. Tillman,1,3,3.0,3,0,1,0,ari,9
2118,P. Strong Jr.,1,-7,-7.0,-7,0,1,0,ari,9
2119,M. Goodwin,0,0,0.0,0,0,2,0,ari,9
2120,K. Hunt,0,0,0.0,0,0,1,0,ari,9
2121,M. Brown,4,24,6.0,14,0,8,0,cle,9
2122,T. McBride,3,22,7.3,12,0,5,0,cle,9
2123,T. Jones Jr.,2,5,2.5,4,0,3,0,cle,9
2124,R. Moore,1,5,5.0,5,0,2,0,cle,9
2125,G. Dortch,1,2,2.0,2,0,1,0,cle,9
2126,Z. Pascal,0,0,0.0,0,0,1,0,cle,9
2127,N. Brown,6,153,25.5,75,1,6,0,tb,9
2128,D. Schultz,10,130,13.0,26,1,11,1,tb,9
2129,T. Dell,6,114,19.0,29,2,11,0,tb,9
2130,N. Collins,3,54,18.0,23,1,5,0,tb,9
2131,A. Beck,2,5,2.5,6,0,2,0,tb,9
2132,D. Singletary,2,0,0.0,3,0,2,0,tb,9
2133,J. Metchie III,1,14,14.0,14,0,1,0,tb,9
2134,M. Evans,4,87,21.8,53,0,5,0,hou,9
2135,C. Otton,6,70,11.7,24,2,9,1,hou,9
2136,T. Palmer,3,51,17.0,21,0,4,0,hou,9
2137,R. White,4,46,11.5,33,0,4,0,hou,9
2138,C. Godwin,2,16,8.0,15,0,6,0,hou,9
2139,C. Edmonds,1,-1,-1.0,-1,0,1,0,hou,9
2140,K. Vaughn,1,-1,-1.0,-1,0,1,0,hou,9
2141,R. Hainsey,0,-3,0.0,-3,0,0,0,hou,9
2142,N. Gray,3,34,11.3,25,0,3,0,mia,9
2143,S. Moore,2,33,16.5,23,0,3,0,mia,9
2144,J. McKinnon,2,22,11.0,17,1,2,0,mia,9
2145,M. Valdes-Scantling,2,22,11.0,21,0,3,0,mia,9
2146,K. Toney,1,18,18.0,18,0,1,0,mia,9
2147,R. Rice,2,17,8.5,11,1,2,0,mia,9
2148,J. Watson,2,15,7.5,8,0,5,0,mia,9
2149,T. Kelce,3,14,4.7,7,0,4,0,mia,9
2150,M. Hardman Jr.,3,10,3.3,10,0,3,0,mia,9
2151,I. Pacheco,0,0,0.0,0,0,1,0,mia,9
2152,L. Perine,0,0,0.0,0,0,1,0,mia,9
2153,T. Hill,8,62,7.8,19,0,10,1,kc,9
2154,J. Waddle,3,42,14.0,15,0,6,0,kc,9
2155,J. Wilson Jr.,3,32,10.7,12,0,4,0,kc,9
2156,C. Wilson Jr.,1,31,31.0,31,1,5,0,kc,9
2157,D. Smythe,3,17,5.7,8,0,3,0,kc,9
2158,S. Ahmed,2,8,4.0,5,0,3,0,kc,9
2159,A. Ingold,1,1,1.0,1,0,1,0,kc,9
2160,R. Mostert,0,0,0.0,0,0,1,0,kc,9
2161,J. Smith,5,100,20.0,60,1,6,0,min,9
2162,K. Hodge,3,60,20.0,31,0,6,0,min,9
2163,K. Pitts,4,56,14.0,27,0,5,0,min,9
2164,M. Hollins,3,36,12.0,18,0,3,0,min,9
2165,V. Jefferson,1,14,14.0,14,0,4,0,min,9
2166,B. Robinson,2,8,4.0,7,0,4,0,min,9
2167,C. Patterson,1,3,3.0,3,0,1,0,min,9
2168,T. Allgeier,2,-9,-4.5,-1,0,3,0,min,9
2169,D. Byrd,0,0,0.0,0,0,2,0,min,9
2170,T. Hockenson,7,69,9.9,29,0,12,0,atl,9
2171,J. Addison,5,52,10.4,24,0,7,0,atl,9
2172,A. Mattison,2,49,24.5,47,1,2,0,atl,9
2173,J. Mundt,1,18,18.0,18,0,1,0,atl,9
2174,K. Osborn,2,17,8.5,13,0,2,0,atl,9
2175,B. Powell,2,15,7.5,9,1,3,0,atl,9
2176,C. Akers,3,13,4.3,11,0,3,0,atl,9
2177,T. Jackson,1,2,2.0,2,0,3,0,atl,9
2178,J. Oliver,2,1,0.5,2,0,2,0,atl,9
2179,M. Andrews,9,80,8.9,16,0,10,0,sea,9
2180,O. Beckham Jr.,5,56,11.2,15,1,7,1,sea,9
2181,I. Likely,4,42,10.5,17,0,4,0,sea,9
2182,R. Bateman,3,28,9.3,15,0,5,0,sea,9
2183,Z. Flowers,1,11,11.0,11,0,1,0,sea,9
2184,D. Duvernay,2,10,5.0,7,0,2,0,sea,9
2185,N. Agholor,1,2,2.0,2,0,1,0,sea,9
2186,K. Mitchell,1,-4,-4.0,-4,0,1,0,sea,9
2187,J. Hill,0,0,0.0,0,0,1,0,sea,9
2188,J. Smith-Njigba,6,63,10.5,35,0,7,0,bal,9
2189,D. Metcalf,1,50,50.0,50,0,4,0,bal,9
2190,T. Lockett,3,32,10.7,18,0,8,0,bal,9
2191,C. Parkinson,1,6,6.0,6,0,1,0,bal,9
2192,Z. Charbonnet,1,5,5.0,5,0,1,0,bal,9
2193,K. Walker III,1,1,1.0,1,0,2,0,bal,9
2194,W. Dissly,0,0,0.0,0,0,1,0,bal,9
2195,N. Fant,0,0,0.0,0,0,1,0,bal,9
2196,T. McBride,8,131,16.4,33,0,9,0,atl,10
2197,R. Moore,5,43,8.6,12,0,8,0,atl,10
2198,M. Wilson,3,34,11.3,16,0,6,0,atl,10
2199,M. Brown,1,28,28.0,28,0,4,0,atl,10
2200,G. Swaim,2,13,6.5,7,0,2,0,atl,10
2201,E. Higgins,0,0,0.0,0,0,1,0,atl,10
2202,Z. Pascal,0,0,0.0,0,0,1,0,atl,10
2203,D. London,3,36,12.0,18,0,4,0,ari,10
2204,K. Pitts,3,30,10.0,17,0,5,0,ari,10
2205,B. Robinson,1,11,11.0,11,0,2,0,ari,10
2206,C. Patterson,2,7,3.5,5,0,2,0,ari,10
2207,T. Allgeier,1,7,7.0,7,0,1,0,ari,10
2208,S. Miller,1,2,2.0,2,1,1,0,ari,10
2209,J. Smith,1,1,1.0,1,0,3,0,ari,10
2210,V. Jefferson,0,0,0.0,0,0,1,0,ari,10
2211,B. Cooks,9,173,19.2,37,1,10,0,nyg,10
2212,C. Lamb,11,151,13.7,30,1,14,0,nyg,10
2213,M. Gallup,2,70,35.0,41,1,2,0,nyg,10
2214,J. Brooks,4,39,9.8,14,0,4,0,nyg,10
2215,J. Ferguson,4,26,6.5,16,1,7,0,nyg,10
2216,D. Vaughn,1,11,11.0,11,0,1,0,nyg,10
2217,J. Tolbert,2,2,1.0,4,0,5,0,nyg,10
2218,L. Schoonmaker,0,0,0.0,0,0,1,0,nyg,10
2219,D. Bellinger,2,34,17.0,26,0,3,0,dal,10
2220,D. Slayton,3,21,7.0,9,0,4,0,dal,10
2221,J. Corbin,3,12,4.0,7,0,3,0,dal,10
2222,L. Cager,1,10,10.0,10,1,2,0,dal,10
2223,W. Robinson,2,6,3.0,6,0,3,0,dal,10
2224,P. Campbell,1,6,6.0,6,0,1,0,dal,10
2225,S. Shepard,1,2,2.0,2,1,4,0,dal,10
2226,S. Barkley,1,-5,-5.0,-5,0,3,0,dal,10
2227,I. Hodgins,0,0,0.0,0,0,2,0,dal,10
2228,J. Hyatt,0,0,0.0,0,0,1,0,dal,10
2229,K. Allen,11,175,15.9,38,2,14,0,det,10
2230,A. Ekeler,4,48,12.0,24,0,7,0,det,10
2231,J. Guyton,4,41,10.3,18,1,6,0,det,10
2232,Q. Johnston,4,34,8.5,17,1,4,0,det,10
2233,D. Parham Jr.,2,18,9.0,16,0,2,0,det,10
2234,D. Davis,2,7,3.5,9,0,2,0,det,10
2235,G. Everett,0,0,0.0,0,0,2,0,det,10
2236,S. Smartt,0,0,0.0,0,0,3,0,det,10
2237,A. St. Brown,8,156,19.5,46,1,9,0,lac,10
2238,K. Raymond,2,46,23.0,41,0,4,0,lac,10
2239,S. LaPorta,4,40,10.0,19,0,5,0,lac,10
2240,J. Gibbs,3,35,11.7,24,0,5,0,lac,10
2241,B. Wright,2,23,11.5,25,1,3,0,lac,10
2242,J. Williams,2,18,9.0,13,0,2,0,lac,10
2243,J. Reynolds,2,15,7.5,8,0,4,0,lac,10
2244,D. Moore,5,58,11.6,16,0,9,0,car,10
2245,C. Kmet,5,45,9.0,14,0,7,0,car,10
2246,T. Scott,1,15,15.0,15,0,1,0,car,10
2247,R. Johnson,4,14,3.5,6,0,6,0,car,10
2248,D. Mooney,2,14,7.0,8,0,4,0,car,10
2249,D. Foreman,2,12,6.0,12,0,2,0,car,10
2250,E. St. Brown,1,4,4.0,4,0,1,0,car,10
2251,D. Evans,0,0,0.0,0,0,2,0,car,10
2252,M. Strachan,1,45,45.0,45,0,2,0,chi,10
2253,A. Thielen,6,42,7.0,14,0,10,0,chi,10
2254,J. Mingo,3,20,6.7,10,0,7,0,chi,10
2255,T. Tremble,3,16,5.3,11,0,3,0,chi,10
2256,C. Hubbard,2,16,8.0,10,0,2,0,chi,10
2257,M. Sanders,2,15,7.5,13,0,2,0,chi,10
2258,H. Hurst,2,14,7.0,7,0,4,0,chi,10
2259,T. Marshall Jr.,1,11,11.0,11,0,3,0,chi,10
2260,R. Blackshear,1,6,6.0,6,0,1,0,chi,10
2261,D. Adams,6,86,14.3,42,0,13,0,nyj,10
2262,J. Meyers,2,21,10.5,13,0,2,0,nyj,10
2263,M. Mayer,3,19,6.3,7,1,5,0,nyj,10
2264,J. Jacobs,2,11,5.5,8,0,2,0,nyj,10
2265,A. Hooper,1,7,7.0,7,0,1,0,nyj,10
2266,H. Renfrow,1,5,5.0,5,0,1,0,nyj,10
2267,A. Abdullah,1,4,4.0,4,0,1,0,nyj,10
