,Receiving,Rec,Yds,Avg,Long,TD,Tgt,FL,opp,weekn
1576,Ronnie Rivers,1,4,4.0,4,0,1,0,ari,6
1577,Trey McBride,4,62,15.5,27,0,5,0,lar,6
1578,Michael Wilson,3,62,20.7,26,0,4,0,lar,6
1579,Marquise Brown,4,34,8.5,22,0,11,0,lar,6
1580,Rondale Moore,4,30,7.5,9,0,7,0,lar,6
1581,Zach Ertz,2,22,11.0,12,0,5,0,lar,6
1582,Keaontay Ingram,2,11,5.5,9,0,2,0,lar,6
1583,Damien Williams,1,8,8.0,8,0,1,0,lar,6
1584,Emari Demercado,1,6,6.0,6,0,1,0,lar,6
1585,Greg Dortch,0,0,0.0,0,0,1,0,lar,6
1586,Zach Pascal,0,0,0.0,0,0,1,0,lar,6
1587,Christian Kirk,3,49,16.3,29,1,6,0,ind,6
1588,Evan Engram,7,41,5.9,19,0,7,0,ind,6
1589,Calvin Ridley,4,30,7.5,10,0,8,0,ind,6
1590,Travis Etienne Jr.,3,28,9.3,13,0,3,0,ind,6
1591,Brenton Strange,2,27,13.5,17,1,3,0,ind,6
1592,Tank Bigsby,1,6,6.0,6,0,1,0,ind,6
1593,Michael Pittman Jr.,9,109,12.1,40,0,14,0,jax,6
1594,Kylen Granson,3,67,22.3,45,0,4,0,jax,6
1595,Jonathan Taylor,5,46,9.2,40,0,6,0,jax,6
1596,Zack Moss,6,38,6.3,16,0,7,0,jax,6
1597,Alec Pierce,3,25,8.3,14,0,6,0,jax,6
1598,Isaiah McKenzie,2,23,11.5,12,0,2,0,jax,6
1599,Josh Downs,5,21,4.2,9,1,8,0,jax,6
1600,Will Mallory,0,0,0.0,0,0,1,0,jax,6
1601,Drew Ogletree,0,0,0.0,0,0,1,0,jax,6
1602,Amari Rodgers,0,0,0.0,0,0,2,0,jax,6
1603,Trey Sermon,0,0,0.0,0,0,1,0,jax,6
1604,Tyreek Hill,6,163,27.2,47,1,10,0,car,6
